Cutoff,downstream_distance,time,radius,cutlen,,,
0,20617.69177,21.5,347.1962596,3604.428998,,390.7315652,5982.377485
1,49094.47628,24,254.1884412,2853.885017,,,
2,325820.5775,26.5,386.0936111,4455.581248,,,
3,216756.4049,26.75,385.9196321,5357.32002,,,
4,61257.34492,29.75,320.7258411,3755.287975,,,
5,239912.7948,31.25,422.7232786,17113.4041,,,
6,276987.9508,35.25,379.7469736,4155.545676,,,
7,414470.3994,44.5,423.6283724,4654.984486,,,
8,230593.748,45.25,321.578365,8062.183999,,,
9,292558.8779,50.25,551.6845176,10558.17603,,,
10,160870.9741,56,322.289358,3404.230101,,,
11,176231.2768,56.5,513.6543283,6055.221515,,,
12,438741.854,57.25,302.4995058,3304.318777,,,
13,22519.69598,59.5,232.6283164,6404.266615,,,
14,6104.172791,63.5,338.3716046,13266.21671,,,
15,54219.68996,63.75,292.6214757,3204.792731,,,
16,50401.5342,69.5,240.3830971,2456.149356,,,
17,275696.4696,71.5,375.8225676,3855.390398,,,
18,283004.7124,75,248.6757538,2503.89736,,,
19,58750.56552,77,592.8477456,9006.465515,,,
20,100967.6749,80.5,400.3794343,5156.231118,,,
21,223754.6636,86.25,629.2943135,7506.410638,,,
22,326044.2833,92.75,415.4665341,9107.51508,,,
23,360285.3576,96.75,442.98075,5005.15373,,,
24,41031.43874,97.5,258.8844502,2753.647586,,,
25,265279.2402,98,554.260056,6755.789478,,,
26,175099.0489,98.5,329.6220286,7106.716131,,,
27,313573.7399,106,418.7214606,5005.984145,,,
28,61197.88993,110.75,255.0023296,2804.664828,,,
29,82145.39141,111,429.6391134,4806.25234,,,
30,62098.53746,112.75,249.5245865,3462.4186,,,
31,233206.4143,116,323.5679207,3404.536828,,,
32,245252.9414,138.5,288.0576535,2903.904206,,,
33,294080.5242,141.75,225.1368462,2453.084005,,,
34,461625.1537,144.25,308.7442076,3404.616115,,,
35,374051.4427,161.75,401.8731541,16111.85232,,,
36,109036.0268,163,318.1708913,31574.71536,,,
37,375576.08,163.75,515.247292,6566.028289,,,
38,83777.76966,166.5,526.1958254,6259.990057,,,
39,404907.3156,167,618.7752657,10157.32021,,,
40,91000.88781,171.5,314.8112698,3360.566225,,,
41,289150.6216,173,333.2138306,3704.909648,,,
42,404808.9926,175.5,471.4858878,5461.209177,,,
43,132364.1646,175.75,357.7908781,3907.467187,,,
44,328832.6943,177,354.9377801,3804.765495,,,
