Cutoff,downstream_distance,time,radius,cutlen
0,47752.01282305937,3.5,289.3161185637847,3154.8239270469803
1,318103.34573376866,6.5,307.3017556266378,8959.852794732184
2,36136.72076572934,8.5,350.45587232314904,4005.6855419242215
3,381141.63147360156,16.0,414.41174660500945,4955.7340123844115
4,200757.67538208928,26.0,591.0019999208766,9058.377045699597
5,81532.63085449091,29.5,503.09451288998895,5006.333851021154
6,252565.66521221405,30.0,688.0478692254877,13612.861764884774
7,154309.23991453694,30.5,433.48108507780023,17970.96257584481
8,325433.34063654416,40.5,451.2104249988674,4906.142062338335
9,246034.806297537,45.0,651.0705860308184,8957.79044150069
10,146760.56609614537,48.0,479.28447320464056,5406.504145480856
11,103761.47554863547,49.0,328.4978714147257,3655.7252650895052
12,114607.47565520697,87.5,494.88633941547613,6006.63821645736
13,20170.366269277394,96.5,539.9509691351807,6406.654228918919
14,209161.4215083683,97.5,388.5227455082267,4456.157163000564
15,191896.6592733145,103.5,527.0405192979529,6907.872110181158
16,10208.87424594692,118.0,640.3246635864792,7507.144967958503
17,227269.24958734566,118.5,372.20466831224303,4156.4299426379785
18,76982.68476487596,120.5,248.10798957089997,14565.556348131682
19,232522.25152873487,130.5,527.3383343369547,6156.340228568587
20,100904.8517252809,136.5,261.1260154859028,2854.743098792303
21,36988.56351137611,158.0,537.5606529773873,6506.765695430113
22,41740.411507010795,161.5,409.3671059150925,6458.781483799659
23,285591.65960994456,165.5,413.3262415345535,4455.9870526956365
24,145541.64970678324,174.0,342.98698490158665,3755.3130331532034
25,114015.35177091169,181.5,610.9059181792101,10109.977336478729
26,62870.27720905893,211.0,583.2329860213132,7757.669655714057
27,357587.50118828553,212.0,559.2197110424328,14313.76368941072
28,285596.68235749385,217.0,358.495406226786,4305.999682080313
29,320960.5461727211,217.5,256.90883991109075,8161.337316774556
30,106915.20127384405,221.5,422.6363003624733,5256.699596553293
31,244576.66542165665,227.5,366.2310639563734,6209.481262965896
32,301570.1649200706,241.5,577.916444342977,7006.835615970819
33,273286.5670149278,245.0,483.79672005321487,5455.95234433187
34,41147.35936139023,278.5,392.02552156496716,4305.69791594617
35,43293.43399877223,284.0,221.35601876923883,11062.430926584286
36,353363.20728014567,290.0,582.3427856340323,7307.396384123096
37,128386.6989151702,299.5,357.1135801493028,4255.971501830182
38,157513.68785424196,301.0,409.1157611188572,4906.288129205682
39,320651.70100410643,308.5,256.74931388566534,2704.224033284373
40,55654.4912045416,330.0,483.7238947929402,5656.349786160443
41,190245.24442651708,338.0,368.5994625855465,4255.6104909727
42,248338.3115231776,341.0,419.3514337747403,4655.483029159758
43,103854.48846693325,342.0,284.81605604205157,3154.766250403883
44,122471.14415801477,360.5,310.89121552405544,3254.716179000754
45,145089.00987857743,369.0,371.068243224063,4205.7468878981545
46,396051.610052549,370.0,352.5661254020947,7359.333042436976
47,318025.4880773062,373.5,315.9892385543059,3355.0030761387684
48,176108.3272277247,380.0,519.8780270816615,6306.65262540236
49,240418.39187168074,383.0,399.7194901502446,4305.2969449272305
50,286773.8133467228,390.5,551.2046814948638,7206.930168555559
51,264296.3925671782,391.5,454.0070160037709,4655.444546832292
52,122471.12562052277,394.0,343.65001971256464,3604.9427136302706
53,378766.06208716374,396.5,203.38683666899286,11810.543643632474
54,311657.99634100724,400.0,312.77229666040887,8057.583417060934
55,301041.0854057073,403.0,421.01554453649044,5206.622930118315
56,206139.34840990975,415.5,685.1243314438702,9307.334286696787
57,189238.2994130432,419.0,506.06273615730527,5856.238287058929
58,214404.47002301182,425.0,483.4697197169535,13211.805194571734
59,231118.64364718317,435.0,243.84030545427098,8407.420028964396
60,26730.0087614607,437.0,438.1283393020794,5306.618348655818
61,307345.6765446466,445.0,610.1122087623985,6806.572341981462
62,257607.5026530652,449.0,286.2945235350157,3305.5889972670925
63,211206.88809605048,450.5,464.16473864809535,5206.0137752840255
64,173180.82915617322,465.5,369.609678656494,4205.944992230639
65,107569.75735250938,469.0,430.6529859091049,5256.942226564883
66,147952.70153559858,470.0,316.1360707949562,3455.3140779825917
67,177403.7040553632,470.5,342.19624370270554,3755.8623078058035
68,111475.66458986835,478.5,504.1821539672566,6207.312661725944
69,342096.27195830294,479.0,252.5670488526084,7207.627438063515
70,16166.643922835525,480.5,493.6551602102679,5606.522761206522
71,337573.9873024692,535.5,388.04817585974206,4456.445719201604
72,56704.33645984166,536.0,265.9387712966625,2804.761844321841
73,374137.8401290316,556.0,358.5908132217186,3955.749177471748
74,250392.29314638293,559.5,324.3899015275051,3805.7133685748427
75,175311.6252980145,571.0,292.2661135406863,3405.323714885116
76,33818.335610153255,577.0,534.0913576848617,7207.916165223177
77,143291.0384130308,578.0,288.93937028250787,3255.4977364210845
78,66252.21791824346,590.0,367.2436846261272,4406.501164867158
79,67852.17825086888,599.5,338.87480415489864,6457.57723421645
80,8441.50072125853,607.5,595.21033940315,7458.049555630295
81,20446.9978402663,608.5,350.82924558391255,3755.62106953759
82,264945.86208570754,628.5,335.2501514708342,3855.605109063147
83,26707.561248969614,629.0,321.4679179420177,7760.25723702545
84,82138.2442956244,630.5,727.6131985037638,9958.771333603869
85,58225.78312939078,637.5,610.3943233429353,8859.19546873399
86,261102.35305663865,643.0,480.80116365268424,5006.234063990146
87,291779.619441352,644.5,383.2316650959573,4306.148607435654
88,304559.8429278481,646.0,477.4642941111155,5807.348118474858
89,151788.85116107488,657.0,317.729914342988,3405.5098386731656
