Cutoff,downstream_distance,time,radius,cutlen,,,,,,,,,,,,,
87,219712.5585,296.5,598.7729044,7863.771931,,,,,,,,,,,,,
88,214149.1475,298.5,255.8077471,4326.549137,,,,,,,,,,,,,
89,202383.3407,303,341.1891755,3660.954849,,,,,,,,,,,,,
90,307328.9241,308,464.7292391,5410.945347,,,,,,,,,,,,,
91,230759.9356,311,318.5465911,3711.242742,,,,,,,,,,,,,
92,380188.9219,315.5,353.7076481,3711.228657,,,,,,,,,,,,,
93,212284.5234,317,200.8149576,16748.76416,,,,,,,,,,,,,
94,163191.8457,320.5,359.0618145,4311.301826,,,,,,,,,,,,,
95,29839.60992,328.5,374.8046981,4060.507937,,,,,,,,,,,,,
96,170735.5445,331.5,503.8694344,6460.728176,,,,,,,,,,,,,
97,98618.60511,336,624.0910291,8110.619119,,,,,,,,,,,,,
98,233148.078,339,351.9000808,3760.901474,,,,,,,,,,,,,
99,130611.8827,340,454.3865248,6915.370666,,,,,,,,,,,,,
100,23178.62814,341.5,447.2676281,6363.618332,,,,,,,,,,,,,
101,87719.96137,343.5,244.0139053,2661.491328,,,,,,,,,,,,,
102,145260.1123,344,467.6923387,5411.591207,,,,,,,,,,,,,
103,283493.4399,345.5,296.9152416,6366.642657,,,,,,,,,,,,,
104,181520.0543,347.5,337.7372496,8266.440007,,,,,,,,,,,,,
105,352115.7706,348.5,396.8207147,4260.619135,,,,,,,,,,,,,
106,376715.2804,349.5,313.0609625,3461.163205,,,,,,,,,,,,,
107,59903.59757,354,273.3822096,7412.227628,,,,,,,,,,,,,
108,45678.30943,355.5,517.5144009,6662.057401,,,,,,,,,,,,,
109,71613.26837,357.5,340.4140767,4413.756441,,,,,,,,,,,,,
110,142355.9804,363,297.7260532,3213.52572,,,,,,,,,,,,,
111,329897.557,366.5,310.5369324,3661.873204,,,,,,,,,,,,,
112,69424.52972,367.5,395.886916,4569.522213,,,,,,,,,,,,,
113,196599.8796,372.5,308.5350936,3260.35536,,,,,,,,,,,,,
114,182612.9563,375.5,322.931721,12832.89299,,,,,,,,,,,,,
115,263535.6848,385.5,180.3242161,6712.886688,,,,,,,,,,,,,
116,311377.051,388,481.5802625,6061.965082,,,,,,,,,,,,,
117,212935.6721,388.5,347.1868231,8015.672764,,,,,,,,,,,,,
118,5355.343816,391.5,498.8881243,7963.522747,,,,,,,,,,,,,
119,67535.6191,394,258.8215086,4560.960631,,,,,,,,,,,,,
120,24365.89725,395,276.6881707,3261.330559,,,,,,,,,,,,,
121,356720.0796,400,650.7965306,8160.65219,,,,,,,,,,,,,
122,122319.068,416.5,268.0997911,3060.596467,,,,,,,,,,,,,
123,327287.1205,424,270.01638,14540.26052,,,,,,,,,,,,,
124,362923.2397,427.5,282.303485,3261.572331,,,,,,,,,,,,,
125,372715.8275,438,247.3394234,2609.629558,,,,,,,,,,,,,
126,331910.0632,438.5,499.5680275,10213.48127,,,,,,,,,,,,,
127,18674.80361,445.5,457.2687944,5310.486488,,,,,,,,,,,,,
128,21746.36294,448,332.6388061,3669.05587,,,,,,,,,,,,,
129,23601.3662,451,254.8603432,2719.48182,,,,,,,,,,,,,
130,6153.289617,453,308.6663134,3310.623657,,,,,,,,,,,,,
131,38913.81382,458,441.4654852,4859.922515,,,,,,,,,,,,,
132,257941.0035,459.5,392.1529658,4460.703166,,,,,,,,,,,,,
