Cutoff,downstream_distance,time
0,0.5302231619641239,0.5
1,0.03049029929910376,16.5
2,0.2686829425088155,67.0
3,0.8941717478804359,72.5
4,0.3139202151071276,92.5
5,0.6149469095325698,104.0
6,0.7443942460621213,123.5
7,0.7356449413730336,144.0
8,0.038985916447062764,208.5
9,0.6263125958441353,233.0
10,0.9134671892815606,234.0
11,0.3794287459680141,238.5
12,0.8592571555114897,242.5
13,0.11590277272859584,259.5
14,0.45915752962264444,260.5
15,0.3486957928979924,268.0
16,0.21589918046741088,273.0
17,0.6036867905853124,290.5
18,0.569038264218584,297.0
19,0.5158762426704019,305.5
20,0.7214427102488602,324.5
21,0.8334555454934315,334.5
22,0.5103939273501251,405.5
23,0.4339485900058636,413.0
24,0.2403068248252036,456.5
25,0.14375356622700772,463.5
26,0.9320933757575123,475.0
27,0.7066302127686136,485.5
28,0.5776139017681743,500.5
29,0.07515313934962517,503.5
30,0.9043208360950268,507.5
31,0.6189876465981226,533.0
32,0.26013988282572875,535.0
33,0.3384385325410707,535.5
34,0.5379410888894337,543.0
35,0.7940433506202229,579.0
36,0.7652290442123786,587.0
37,0.7283988642532111,588.5
38,0.4763241164999888,590.0
39,0.12998945209867185,598.0
40,0.1595855384819271,610.5
41,0.36476662939134913,612.0
42,0.05861764562552907,638.0
43,0.8335121678907977,647.5
44,0.17425705041099054,649.5
45,0.883834588061244,663.5
46,0.4460629093870805,668.0
47,0.961680904102625,726.0
48,0.9336626227414507,727.0
49,0.09004436998928385,736.5
50,0.8568214848861088,755.5
51,0.3269950328642332,758.5
52,0.8357573318867082,761.5
53,0.4592804611800657,778.0
54,0.48696545717650164,787.0
55,0.08191609929224337,794.0
56,0.11748081335421,799.0
57,0.13406000321867942,806.0
58,0.5899262217252367,817.5
59,0.5530397465289374,820.5
60,0.7851316944451464,841.0
61,0.6969130659019414,842.5
62,0.37022310940233355,848.5
63,0.20076774280039267,855.5
64,0.5182308497818597,856.0
65,0.05385844242042953,858.0
66,0.879428322981894,864.0
67,0.8184481184236624,881.5
68,0.7681327643654208,887.5
69,0.4169473378151889,893.5
70,0.48703387947155,899.0
71,0.5305949479693644,913.0
72,0.29340450793099065,919.0
73,0.5436639912698358,920.0
74,0.2165254591774165,920.5
75,0.4607174012109218,932.0
76,0.3686727473392899,954.5
77,0.910228214885169,956.5
78,0.1454014437579242,963.5
79,0.09860655940048281,967.5
