Cutoff,downstream_distance,time,radius,cutlen,,,
0,321514.3962,0.5,308.0541318,3660.21919,,392.8504145,5642.126944
1,96140.05798,10,221.0362686,12824.37437,,,
2,211147.0601,14,430.2506221,5110.135284,,,
3,160704.583,16,538.3271424,7660.46633,,,
4,112569.9552,25,410.412264,5060.15322,,,
5,67404.63465,27,370.76671,4511.68631,,,
6,45568.65414,29,489.445507,5009.166346,,,
7,207428.6421,32.5,300.7074969,3510.584639,,,
8,29387.56632,36.5,373.6700859,4259.833753,,,
9,105840.5584,41.5,433.2793201,8111.467752,,,
10,393030.0275,43,369.0580039,4811.718248,,,
11,64997.22047,43.5,462.2287327,5613.742954,,,
12,31640.82953,46,322.8310202,3861.629445,,,
13,102133.0904,48.5,508.7543702,8012.513626,,,
14,384724.3556,50,540.3904728,6510.164957,,,
15,13561.536,50.5,358.5561146,3910.154723,,,
16,26577.76519,53.5,207.8703216,3756.582554,,,
17,152956.62,60,369.8878962,3808.962673,,,
18,345490.0243,63.5,426.4523143,5109.089509,,,
19,363447.8333,68,372.2787095,4460.82017,,,
20,169641.0746,75.5,337.264706,4061.757615,,,
21,312148.697,86,276.4317761,3009.162691,,,
22,200361.2731,86.5,327.1237769,3509.740155,,,
23,214031.5079,102.5,243.1423856,2558.039062,,,
24,293200.1073,104.5,547.4645883,5859.9474,,,
25,356516.4214,111.5,455.0888651,5259.986063,,,
26,149577.1898,118.5,461.7700984,4758.768449,,,
27,137560.9119,121,441.0340617,5361.150666,,,
28,265652.4342,122,470.7984733,5710.233316,,,
29,412074.7247,137,265.1039255,7569.358975,,,
30,290635.784,138,477.2521547,5910.152055,,,
31,236139.3173,144.5,356.2326189,13863.56206,,,
32,154441.2847,146.5,286.3071816,3260.022595,,,
33,188698.0522,153.5,327.3074528,6813.993177,,,
34,80444.83535,154,744.8400964,13415.08406,,,
35,386291.8332,162.5,305.2479364,3359.151867,,,
36,242967.496,165,470.9389432,6162.880437,,,
37,138897.5987,167,469.1045038,5160.201302,,,
38,366604.6544,176,360.3169156,4109.790451,,,
39,118802.4877,177.5,320.5282197,3660.227307,,,
40,213699.6604,189,461.2932032,5159.350129,,,
41,52487.31099,191,390.9028488,4509.83552,,,
42,218663.0865,193.5,359.9788622,8670.472338,,,
43,80333.55223,198.5,233.9975794,7666.447731,,,
44,154250.9588,208,215.9320306,2408.005591,,,
45,161855.4125,212,570.218025,7309.034915,,,
46,238596.5681,213,380.4831462,7662.13939,,,
47,60597.26941,218,439.4768905,12115.31428,,,
48,409225.1587,218.5,488.590466,5361.118076,,,
49,158441.6439,221,491.6320187,6465.711097,,,
50,43870.14041,229.5,384.0852758,4309.880929,,,
51,417554.0072,230,420.1313468,4510.722904,,,
52,325707.6032,231,683.8469235,9359.196864,,,
53,371079.4469,238,397.1750674,4610.874982,,,
54,166633.1377,241,323.653367,7862.438158,,,
55,180303.765,241.5,423.7550912,6611.99713,,,
56,126575.5158,244.5,390.1416855,6660.519856,,,
57,251319.2315,245.5,388.2580636,4310.062649,,,
58,143148.7373,249.5,271.1429922,3210.824225,,,
59,9697.79369,256.5,491.2751972,7864.139947,,,
60,218437.0481,261,321.2128159,3560.058564,,,
61,264676.5377,262,418.9192463,4559.834095,,,
62,244438.4071,270.5,456.678516,5160.000805,,,
63,235458.4425,275,344.1128062,4161.693608,,,
64,14302.48614,276,464.1607047,5510.47727,,,
65,118473.1247,276.5,346.5558389,5114.532074,,,
66,253703.3106,279,548.6019071,6660.664874,,,
67,350766.0179,280,365.0837645,12974.24194,,,
68,138139.3103,282,233.8316208,5711.205454,,,
69,65200.4568,306,652.8766631,8660.56232,,,
70,370248.2398,318,405.1586486,4409.661722,,,
71,231909.7892,320.5,277.640194,3110.093688,,,
72,103881.5448,324.5,432.2702965,5311.254023,,,
73,183220.217,330,398.2806973,4610.400343,,,
74,209304.6418,332,381.2804814,4560.202899,,,
75,163072.4569,336,322.344176,6412.982816,,,
76,79128.22479,337,397.1380268,4359.467933,,,
77,413058.1031,342,303.5021099,3360.064801,,,
78,69162.4379,342.5,362.2907637,3859.861311,,,
79,347806.1262,343,544.2798142,7262.791024,,,
80,283123.9944,350,540.6610155,6411.242955,,,
81,32337.25597,351,563.9310064,8713.187339,,,
82,213231.5113,352,337.5521836,3960.307941,,,
83,303712.7495,358,425.0840627,5461.379531,,,
84,138489.7454,373,374.0736999,4059.659263,,,
85,81096.15857,373.5,447.6923194,5211.380011,,,
86,396813.1387,375.5,312.872532,3460.313287,,,
87,321351.6857,377,409.2104821,16974.36319,,,
88,42166.05245,384,420.5895178,4559.449802,,,
89,130028.7334,389.5,403.3785807,5363.225939,,,
90,201490.0739,399,570.2864124,10664.97642,,,
91,59648.37552,400.5,504.4853037,5859.808208,,,
92,21980.72504,405.5,350.4634494,4210.486104,,,
93,65416.89949,410,322.7989345,3160.157393,,,
94,215511.9517,426.5,348.8401845,3759.328497,,,
95,281711.707,427,451.4907195,5310.78967,,,
96,103826.4178,428.5,347.1967246,3709.589501,,,
97,353794.9722,433.5,416.5142875,4609.688589,,,
98,360594.3573,438,434.6839705,5460.970375,,,
99,197537.8585,439,364.8287244,3909.382457,,,
100,368954.5928,443,333.1606937,3960.566386,,,
101,207358.6459,449,448.4558973,5410.992139,,,
102,297704.7934,450,416.0152561,4809.842712,,,
103,97219.32149,456.5,583.6422875,8162.184989,,,
104,272693.2016,457,505.4900627,5760.560734,,,
105,230721.5803,460,302.7045501,3560.730323,,,
106,399538.7932,462,415.08397,6061.916467,,,
107,254755.4594,468.5,386.9176632,4710.808443,,,
108,25788.39372,471,262.7353694,2808.92077,,,
109,198256.3798,472,265.910651,3110.22959,,,
