Cutoff,downstream_distance,time
0,0.5302236228424224,1.0
1,0.03136442376347804,15.0
2,0.26863271924678245,71.0
3,0.8948122126365382,73.0
4,0.6296406861257073,99.0
5,0.32721762824134265,104.0
6,0.7458427962118654,124.0
7,0.04839099006000803,175.0
8,0.34888217186349774,197.0
9,0.8518648118508835,223.0
10,0.6368462164451715,227.0
11,0.4935062522125394,238.0
12,0.27918390462105785,262.0
13,0.13780807980847748,266.0
14,0.5430148081908114,269.0
15,0.07702135520794841,271.0
16,0.2698119248531322,305.0
17,0.5652397501746356,326.0
18,0.5480747493275279,328.0
19,0.7292149159403509,337.0
20,0.5117747090496747,379.0
21,0.5693822685923471,380.0
22,0.48776111172998804,417.0
23,0.14044318742021966,440.0
24,0.8577402927024335,458.0
25,0.41797337865869305,460.0
26,0.7642897157322657,479.0
27,0.22641970188182647,485.0
28,0.6248391880897063,491.0
29,0.6100659840321184,496.0
30,0.41690809847207877,503.0
31,0.6541305020592575,510.0
32,0.12184302776630554,517.0
33,0.2796603422526055,526.0
34,0.7187857408813016,548.0
35,0.358130536623804,554.0
36,0.14337604173746765,557.0
37,0.24530504147590979,563.0
38,0.5487011721803139,571.0
39,0.1710424226741999,575.0
40,0.3410248218782589,587.0
41,0.0457336806736685,593.0
42,0.5961852019272532,595.0
43,0.47118741714206663,606.0
44,0.7258652911943511,618.0
45,0.5780717358092186,631.0
46,0.8987986455885442,634.0
47,0.8220903723990577,638.0
48,0.13985184986783186,650.0
49,0.8712392585361889,717.0
50,0.5450319794382069,718.0
51,0.16994067535698074,724.0
52,0.6223264970732956,725.0
53,0.7746358337280179,726.0
54,0.8606484107676158,733.0
55,0.6056899703966843,739.0
56,0.8285924440246651,745.0
57,0.27235238160365144,751.0
58,0.045199887252795445,752.0
59,0.9241098166421996,754.0
60,0.7925968334607523,773.0
61,0.6944247887031946,779.0
62,0.4113324131121346,786.0
63,0.15275557999442824,787.0
64,0.36130731560156937,799.0
65,0.17620767110985622,801.0
66,0.2273379669713288,812.0
67,0.43665076134462594,825.0
68,0.36971892820189345,845.0
69,0.6781164486655429,847.0
70,0.26669046109585665,852.0
71,0.1594879507529936,857.0
72,0.37036824596724266,876.0
73,0.3673866517437172,877.0
74,0.14526641760290723,880.0
75,0.5852663932573262,883.0
76,0.8369987837283667,889.0
77,0.7558455947158125,892.0
78,0.7483684862053461,899.0
79,0.2333651000970879,902.0
80,0.4199975094277908,904.0
81,0.38370476780859036,907.0
82,0.07476230470420986,911.0
83,0.7084344533156384,924.0
84,0.4765630393185314,928.0
85,0.838774914256961,932.0
86,0.6702383415238742,936.0
87,0.5388707519428881,937.0
88,0.6457835937007654,961.0
89,0.5609056929937348,977.0
90,0.9210680863004787,978.0
91,0.4761587637583179,989.0
92,0.3392121577584896,995.0
93,0.8517556015979214,996.0
