Cutoff,downstream_distance,time,radius,cutlen,cllen
0,195962.32695811745,5.75,577.2314030923505,7809.336464616239,219606.74692197583
1,19077.977396425726,7.0,303.31668073155555,2806.935768453484,218962.51508176717
2,123281.7053843766,20.75,254.62990482798878,2757.7918397453454,235279.13555598975
3,123863.29204329058,35.75,564.4630725508569,6708.707558736504,248948.6601069295
4,154705.6492855926,36.25,264.97767834371393,2857.2082930012843,247294.23744825184
5,221194.45664016667,36.75,350.28761593767814,4310.028145812736,244186.7159914176
6,217744.27469100436,37.0,101.37513384754169,5227.3930821330805,239806.57103994858
7,222410.9262124216,37.75,281.11288478354265,3181.245534503336,238289.6549338654
8,35353.29601764146,40.0,594.0510200846883,8059.927552136525,234114.2819382432
9,106702.22424555277,40.25,398.5875961655665,5060.068172251572,229936.02849020308
10,173257.18471395416,43.0,572.2668923828717,8011.587605569855,227063.3898001037
11,155010.306010986,45.25,517.949452755172,6913.9789345773615,224622.91264258453
12,123948.62066322315,45.5,227.95050909644047,2720.164684047329,222816.0508172219
13,141111.79533430943,48.5,517.971145993899,7060.950068861236,221514.55617505583
14,189837.05894893286,53.0,436.91791680223713,5109.089357251888,224656.34976133888
15,115239.31036738766,53.5,220.69989580983386,2256.570836826864,218466.34105781512
16,157886.41634989693,55.5,556.0992826254934,6461.152278628963,216014.95875922355
17,29748.41956446172,58.0,600.8208608765248,8312.433140983541,212629.23295724628
18,146998.82587213925,59.0,335.96464418630165,3312.3302666770005,211756.35309714123
19,181497.50707392496,61.25,313.0981576747803,3711.391639172032,212806.89750039263
20,162257.49974827826,63.0,272.0298745918129,2963.116989839112,213500.5895802298
21,10662.66864606986,68.75,415.38669723545934,15374.52859725064,208195.866405661
22,20854.21062768565,70.25,389.509958588838,3970.8316989303576,207292.98802158865
23,75086.4691338813,73.0,534.5471632675636,6509.222583325287,205734.6696553235
24,63861.78793706327,74.75,475.50250506665293,5260.199328299085,203913.619585906
25,3902.8803556511666,84.0,455.4963292945727,6812.828770599764,212235.168986662
26,117111.4623450427,85.0,250.72891083667872,3009.1209914582305,211225.1237130752
27,77505.2269573987,90.5,432.7853503517754,4661.2502836749245,215336.42478740623
28,11278.686231406331,99.5,531.9809827828285,5859.775778053393,222694.43970801274
29,6920.667136708704,100.5,370.067721114286,3729.4236025084183,220883.76842940244
30,11037.031690341631,102.25,444.03705002060127,5023.824354570809,218772.25736274995
31,122630.32001665722,104.0,411.6357749682413,4558.0114095720855,217224.89888509008
32,135750.2735752852,120.0,263.31497098063466,7960.952516551923,232150.13735045755
33,155778.8352964222,129.0,343.6556066653505,3757.9360316905277,241005.34157481533
34,138389.83493037822,136.0,378.2388663498745,7511.9632783350535,243198.12389836993
35,129320.45173536103,136.5,511.2831750336486,6317.233735488857,238082.29516267704
36,191115.50526513497,137.0,494.15572791848393,5958.758415473786,233383.66091659863
