Cutoff,downstream_distance,time,radius,cutlen,cllen
0,138450.77677940746,4.0,495.7135504451776,4963.0692916487415,168322.132268227
1,157274.3437596383,9.5,486.79141008569735,6313.374952063718,166402.4974452292
2,71330.48612641828,15.5,267.0527138897689,7822.650317391343,163344.82295194917
3,47293.479977504336,44.0,280.200775409021,14127.608236535441,169186.3475111779
4,87377.22109746076,54.5,515.9771878527649,6012.2586848327655,171416.88878164437
5,99632.1880521972,58.0,549.9492977167699,6563.408929867101,167849.48298619734
6,59918.245590620485,63.0,295.76237559161706,3616.008174154106,168436.51946824774
7,124603.6882385605,67.5,400.4235451449194,4413.6337018087615,167706.8746819142
8,8513.826906844777,73.0,710.1799392734446,10313.430759456458,161649.053612264
9,133197.76117536318,78.5,488.168894783716,6066.2157879492215,159963.0568183041
10,120164.10129847574,101.5,640.529949952196,8762.337642235789,167779.71906306854
11,170643.6648263046,118.5,352.0927998620073,10167.411441345452,171225.20479830116
12,158741.41407407165,134.0,297.66471468806975,3214.0963335044253,180545.31403084856
13,81474.42461804723,141.5,425.61423003148263,4914.909119788619,181764.34851088098
14,127112.46804203095,156.0,261.4272202898793,8118.415512419105,185256.25628706857
15,111275.38201027307,161.5,404.20310641434776,4914.894943528903,185216.1444595779
16,154848.47093665012,171.5,447.8046154854665,7617.631691996723,185921.25538480224
17,35719.57930812805,173.0,552.026875366995,7363.410338474434,180240.1763861557
18,11963.263561133394,175.0,366.703552285156,4065.3428831839515,178303.46152197476
19,51131.24381375193,183.0,529.7780379628703,6162.768919788994,178676.9560872027
20,56632.09093617427,183.5,381.43587950261167,10929.055320813497,168578.82842230835
21,74243.83920054062,206.0,358.35325523336445,3763.7899247014193,181803.29903807532
22,158465.14515899168,208.5,614.4950187297216,10818.924376951318,173303.6780874347
23,102543.83965653073,218.0,340.2262534172517,3714.0166203374583,177595.2993770246
24,16430.009236339018,241.5,278.84588349083685,3315.996645688331,186180.8936674983
25,114837.79199790096,242.0,723.4726573866615,8517.652374049987,178562.5355892581
26,167352.8258630164,243.5,713.4342458179802,8563.62329133193,171924.99458934186
27,137147.25432196676,245.5,586.4517083289817,6463.671393950998,167932.8221740019
28,121144.53989170784,250.5,432.9079910785545,4764.167908771493,168181.7212155844
29,19341.87477516951,266.0,708.7128938237399,13918.921674765765,162682.1502171133
30,153986.9392811288,269.0,302.7737699663517,3268.6840661493216,162671.33626225413
31,134908.31300412957,274.5,276.29653764348393,15663.605839641046,152051.76063947784
32,57271.23723529249,285.0,406.31401280674953,4964.979419684724,155470.44584389956
33,85847.59874179488,295.0,576.4692154912944,17125.0156452636,146011.64296715643
34,81805.23497687715,300.5,192.6800733458772,10202.204487563427,140896.3086217969
35,115074.55662695317,314.0,601.080973770389,7314.50820907541,143554.20831640778
36,37694.08419387087,317.5,471.3953155958554,5864.764293488063,140906.8721519154
37,24555.906649316163,326.0,322.9338856091313,3313.7746483880037,144380.27166766117
38,108564.19294120677,332.5,401.27581527594907,4164.740441447523,145239.0446295267
39,94202.40562763343,335.0,432.55699847665284,5215.0498769655005,142266.8231882287
40,63225.32780485919,346.0,349.23989074482057,3763.759518069387,146489.04314206395
41,137299.48435496964,351.0,233.3724512327228,2564.7604786767756,147784.51292196306
42,76368.02848660901,393.0,346.4716679533753,8020.462963555984,170372.0373042194
43,130489.58350499035,397.0,413.9812347477457,4462.779128584041,169440.56763955482
44,164703.98327182268,401.0,500.0899488074303,6214.540138717144,166766.73341417103
45,127615.44908045353,403.5,306.5706006769989,3570.8134624170734,165643.0025273278
46,101618.55597793516,406.0,394.9815461761446,4615.580712811294,163414.23540592866
47,49405.23441109914,409.0,438.3068068614886,4963.50846226002,161186.97584193113
48,36330.09370049835,416.5,326.44743903393817,3564.8065847127664,163489.56913700092
49,137533.41722729325,421.0,532.0318656385792,6212.338989347859,160905.1578798404
50,108264.54501899451,423.0,350.04098196544084,4115.341262743386,158726.96714292598
51,112742.40223792392,457.5,304.90542707888613,3264.5286410677763,181548.12950430257
52,165216.82595912175,462.0,501.81283737193417,6515.365194265356,179117.26093472986
53,7063.623414483598,466.0,450.78052535912326,13574.614068378249,169426.93316275015
54,22665.240714739433,471.0,553.8788539807215,6714.692421933063,167510.39815866173
55,109714.65205019627,478.0,290.2068970191763,3064.714573450561,170908.6877120526
56,127773.49796534188,483.0,325.7038458088367,3564.6683383382715,171811.98638469502
57,134924.18917470804,485.0,359.2242146924755,4165.622008903849,169684.83250878812
58,51885.403409669016,487.5,482.3067611309473,13476.562735913427,158676.78105352118
59,27660.486885678554,499.0,374.8729185736516,3965.5412497417374,164859.43756193868
60,69059.79496110417,504.0,290.69575520774333,3366.3902272143846,165906.64995690988
61,165692.35518688383,519.5,489.14667580320327,5565.293673200187,172819.3644923973
62,122515.01682768237,528.0,255.88766767364612,11922.512990590889,168456.88929502043
63,144445.78990111983,535.0,428.97827592569803,5164.530358284344,169777.98337539518
64,112639.47968229826,551.5,365.10594168971386,4064.844024184989,179791.96838098712
