Cutoff,downstream_distance,time,radius,cutlen,cllen
0,137153.84904653727,4.75,388.57797359271444,4057.0916373800255,174213.8928972873
1,18502.35623383735,5.5,492.3688951823699,6208.272797487992,169069.09533348563
2,35113.99725973439,5.75,236.7021666664544,7864.403041252694,161881.7381783585
3,106025.87917528393,13.0,215.76366633638844,2254.6566843901455,166315.12790198944
4,165295.85527817722,23.5,307.4785901191686,3256.7291056525005,171712.98702094192
5,144335.37181457414,40.0,326.3225411922784,9362.712084876717,175393.43752725067
6,103627.81048422666,45.25,739.5701397979806,8860.432938823487,171809.06624787571
7,103905.63856302331,47.5,196.8968221475423,7230.348777031074,167482.85545544137
8,151871.89609990068,55.75,456.44542121602836,4557.831756250578,171254.8635170254
9,64525.97976315865,70.0,354.02941551056506,4007.9152420883847,179495.61466528496
10,20207.264063073813,70.75,414.41939226942725,4556.899237154148,176025.43604684607
11,154786.57992645958,79.0,433.70906002571866,4757.153424310277,178627.65251527313
12,119535.45340917181,81.25,323.6505662232351,10209.99537650461,170828.4038159549
13,28169.529419320956,91.5,544.3881150669293,7209.3754013755415,173783.00157718585
14,37043.43686718199,99.25,374.39334790103123,4207.836816063026,177051.58444816814
15,177535.1126233458,109.25,325.51399113183703,3657.628885675002,182349.97660347598
16,144155.04540656463,112.5,307.5331425101327,8159.437423198853,177468.37325004447
17,97961.83297455183,115.5,589.5527277645215,7158.970363159781,173360.90868617175
18,8099.552323546356,118.0,826.5115803420271,11662.005020651037,164518.60934908883
19,105303.04096067575,125.75,292.2220742516976,3308.48052092505,169419.7979494506
20,154426.49887205334,137.75,363.9124592299593,4056.7052880849114,175911.91190137397
21,11208.404765653666,138.75,433.2837485856273,4958.327719520595,172293.44085207657
22,96705.21097963123,146.75,542.4530364475232,6807.70498546491,173017.50872299497
23,59876.83521678812,152.25,595.1252833897948,11412.889692010127,167043.71121316802
24,98164.76460859098,152.5,398.9906223332808,4617.386986983438,163146.36749270506
25,134539.06399577254,153.75,349.10313419877144,3957.6821309414513,160988.57374920193
26,154846.96985264553,154.0,274.76092474516685,2908.7638925343954,158812.9996034454
27,41009.03304885503,154.25,588.6254470596384,8912.126496501289,150627.64344318246
28,32595.106888748032,161.5,304.07949893032963,3411.0444816912463,154964.65921054443
29,46679.21498209794,163.75,435.31442250595643,4860.398388261159,152550.8651784421
30,51121.98272649701,173.0,253.28477233230115,2557.331665969831,158316.24624507374
31,97790.19141324774,179.75,479.5135484873239,5358.453333310979,158745.1146027041
32,149256.66894504742,195.0,555.85477166326,6259.341277188933,165836.7383582784
33,40006.19097501884,206.5,273.1765049995882,2856.679863683082,173919.8214804079
34,108389.88404486279,211.25,252.50352204231044,2856.928700668281,175646.8826546489
35,56241.82930590555,211.5,299.8618815640095,6009.900580490627,170313.64287574484
36,16315.980486797667,224.0,317.51817683189705,3556.9917046355704,178376.88279806077
37,135960.84508875804,224.75,379.0407635181543,4307.08807282376,175170.3705974676
38,120643.8401675939,231.0,554.8747683424373,7609.310190598611,173528.95911640016
39,93271.02208621366,237.5,362.1400646356874,3907.687916110816,176125.4598272103
40,24773.949780673636,238.5,411.94056211017465,6258.374054159447,171231.60608393623
41,141356.7530736503,239.75,398.0659013088999,5058.299763220559,167853.80222486047
42,10809.761861133846,241.5,564.6406876069007,6209.787912257933,163943.68103284793
43,94604.91953375789,243.0,348.75223303834656,4163.558834867421,161938.1010765272
44,145140.69493821956,248.0,303.1978206342755,3108.64105743798,164380.2724061787
45,109398.84136369525,259.75,390.5639037373392,4908.832122714767,170099.07090434057
46,164051.6555029898,260.5,355.48178567597773,4108.160338623506,167164.1542191677
47,93413.10328475243,285.25,581.2320132544702,7008.137398791099,182845.61989703018
48,119015.38785318259,288.5,288.8195136537337,2905.8284583425793,183656.9184065406
49,59491.90677277312,297.0,522.2248300452883,6709.27147476197,185941.66112915473
50,97867.2936743684,300.25,278.78261108633245,3308.629353703993,183367.96638820588
51,10111.245272768136,305.25,290.0358998428811,11268.235562427437,178034.9221784928
52,56860.88000355571,308.75,383.58727231475837,4611.407608045583,177682.61328337307
53,18079.795860321767,314.0,464.9906334264493,4958.436970021454,178707.13642360832
54,98909.74302068284,315.0,346.85410262148054,3908.7578718647846,176276.20250165596
55,157911.64877435417,316.25,279.96376811462676,3057.832479143321,174991.74081993153
56,133402.3723932226,321.0,420.53736987087757,4607.81427480891,175572.564811062
57,44604.51776980706,337.25,383.5370816461281,4608.120481227116,186449.05875682042
58,135394.99526894113,356.0,554.7190688520996,10313.881825159666,195042.9826356008
59,121202.70443276345,360.5,331.02420139883225,3960.489604787459,196905.35747503885
60,103266.51934847698,360.75,287.70538291184073,3107.896077014605,194556.29454578817
61,43654.40010833497,362.5,434.7405512625962,5359.511611331417,191744.652855518
62,122312.8593685084,368.5,429.8175322943099,4709.917055712264,194433.93216913904
63,115054.66319119085,369.0,206.62705380255755,5366.6157444169585,190107.67236924678
64,158645.9485675176,370.75,304.58907242310596,3507.238854096747,189094.88255653408
65,59074.550178299694,371.75,463.7226531268214,5157.380786739412,185552.71594559026
66,164050.71301992523,372.25,282.35930772729796,2906.4966417915025,183737.13724112953
67,126047.13723102538,376.0,232.80902516519703,2457.6075763080357,186149.92997766135
68,60128.9438453713,377.75,244.57224102776138,6964.670514969816,181512.6813249238
69,170989.59324868364,384.0,383.28229977048665,14868.88988813447,173404.34480193834
70,141168.7324815918,384.75,425.7842663750797,5610.302593071128,169055.5661416342
71,52157.49004582596,389.5,344.67264382810976,3558.942955442286,171144.91166328397
72,28923.3536268648,395.75,345.3179678666695,3958.7296718239522,173728.48144910668
73,37544.0620809321,399.5,207.8418863094134,15618.5257475465,162082.99665777085
74,129219.40958635394,404.0,387.5226474206716,4308.041854777499,163179.51274029826
75,4585.631668256595,413.25,508.8848708126033,7161.734417164671,165315.21499957106
76,132160.15911268612,414.5,266.8012029497321,2757.770484421631,164215.45270289117
77,150973.53850568022,423.0,300.99501954808454,3307.540537286652,169110.19517968476
78,85554.75893882474,429.5,498.4683709591507,6057.988756610915,169078.7751747055
79,9557.65647187389,443.25,534.6535869025003,6358.573646651972,175614.4888940672
80,24752.604556735674,448.25,343.15218028380735,3707.4585574222556,177334.44740471544
81,153170.58335670753,454.5,257.395675305264,13213.754170840433,170510.55222921894
82,166721.72944508633,456.0,437.714528982194,4361.260010063332,168334.8957937166
83,58134.19737759714,467.25,414.3924987716895,4859.564806269115,175280.1465392782
84,115912.21068999363,474.25,314.30091105721044,3658.2557916224587,178669.60256121078
85,89956.43858655363,475.25,320.1864581258859,8914.58153026623,171133.0163961341
