Cutoff,downstream_distance,time,x,y
0,158362.07795597753,0.5,"[array([54341.11071322, 54327.17429655, 54306.15461812, 54278.81593914,
       54246.06199756, 54208.86024251, 54168.17538513, 54124.91743057,
       54079.90816763, 54033.87240541, 53987.46517177, 53941.34823017,
       53896.3119118 , 53853.38289906, 53813.79454732, 53778.7271335 ,
       53748.8918945 , 53724.17042044, 53703.46715893, 53684.77681501,
       53665.40652927, 53642.39589928, 53613.24517281, 53576.77198351,
       53533.54727174, 53485.56324077, 53435.40374348, 53385.46275142,
       53337.5066065 , 53292.550427  , 53250.89944764, 53212.23420929,
       53175.6814534 , 53139.87308154, 53103.05498708, 53063.37307956,
       53019.50806619, 52971.55991122, 52921.51833745, 52872.75121938,
       52828.84391928, 52792.61373527, 52765.72504885, 52748.78378829,
       52741.62746955, 52743.62031818, 52753.88084096, 52771.43454213,
       52795.30722438, 52824.57714917, 52858.4007677 , 52896.02234028,
       52936.77420998, 52980.07199544, 53025.40731493, 53072.33959666,
       53120.48786791, 53169.52300633, 53219.16068801, 53269.15511877,
       53319.29354913, 53369.39152718, 53419.28882005, 53468.84592645,
       53517.94110249, 53566.46782737, 53614.33264303, 53661.45330956,
       53707.75722682, 53753.18008057, 53797.66467936, 53841.15995478,
       53883.62010421, 53925.00386016, 53965.27387494, 54004.39621288,
       54042.33994544, 54079.07684654, 54114.58118734, 54148.82963055,
       54181.80122544, 54213.47750499, 54243.84268683, 54272.88398015,
       54300.59200066, 54326.96129629, 54351.99098672, 54375.68552058,
       54398.05555532, 54419.11896594, 54438.90199012, 54457.44051859,
       54474.78154049, 54490.98475275, 54506.12434024, 54520.29092716,
       54533.59368863])]","[array([-2782.84406651, -2831.19830538, -2876.92118495, -2919.16295146,
       -2957.34175731, -2991.17167851, -3020.6758039 , -3046.19314753,
       -3068.38555232, -3088.2444141 , -3107.08526734, -3126.50092499,
       -3148.22207783, -3173.8342535 , -3204.39003592, -3240.10727355,
       -3280.36081356, -3323.9782167 , -3369.63573842, -3416.10848219,
       -3462.23041943, -3506.58156123, -3547.14537911, -3581.35455554,
       -3606.70271346, -3621.52449205, -3625.38383255, -3618.94082582,
       -3603.55551405, -3580.90119266, -3552.70692057, -3520.63836275,
       -3486.29374801, -3451.29870665, -3417.49975431, -3387.2335938 ,
       -3363.48079742, -3349.52669295, -3348.02377051, -3360.02071493,
       -3384.68559504, -3419.80402998, -3462.55920837, -3510.1548212 ,
       -3560.15428452, -3610.59734484, -3659.99130937, -3707.24830032,
       -3751.6082852 , -3792.566237  , -3829.81014341, -3863.17106847,
       -3892.58419557, -3918.05905934, -3939.6571317 , -3957.47514202,
       -3971.63279484, -3982.26382127, -3989.50953507, -3993.51425582,
       -3994.4221138 , -3992.37486903, -3987.51046869, -3979.96213681,
       -3969.85784342, -3957.3200411 , -3942.4655874 , -3925.40579474,
       -3906.24656678, -3885.08859314, -3862.02758376, -3837.15453091,
       -3810.55599154, -3782.31438549, -3752.50830711, -3721.2128481 ,
       -3688.4999299 , -3654.43864299, -3619.09559003, -3582.53522867,
       -3544.82020872, -3506.0116976 , -3466.16968726, -3425.35327491,
       -3383.62090985, -3341.03059866, -3297.64006125, -3253.50683138,
       -3208.68829645, -3163.2416736 , -3117.22392199, -3070.69159537,
       -3023.70064493, -2976.30619014, -2928.56228647, -2880.52173373,
       -2832.23598876])]"
1,141833.4547745843,6.0,"[array([45634.28394956, 45667.85196065, 45697.93267243, 45724.47152067,
       45747.47038063, 45766.9857693 , 45783.1318041 , 45796.08932848,
       45806.12293508, 45813.60784517, 45819.06839677, 45823.22886151,
       45827.07398914, 45831.90758105, 45839.37920739, 45851.41646571,
       45869.96597233, 45896.4978256 , 45931.43232273, 45973.82603287,
       46021.54012118, 46071.78278817, 46121.71575985, 46168.88507332,
       46211.41677445, 46248.0350883 , 46277.98587066, 46300.92745759,
       46316.82331568, 46325.8509963 , 46328.33089455, 46324.67333512,
       46315.34080424, 46300.82196921, 46281.61453927, 46258.21458411,
       46231.11045871, 46200.77993619, 46167.68953694, 46132.29541131,
       46095.04554549, 46056.38355578, 46016.75486004, 45976.6162959 ,
       45936.44970045, 45896.77776751, 45858.17633812, 45821.27269625,
       45786.71858869])]","[array([-2977.06366456, -2939.73070205, -2899.54705708, -2856.95242689,
       -2812.35729623, -2766.14158252, -2718.65365169, -2670.20876621,
       -2621.08607178, -2571.52364765, -2521.71253142, -2471.79406929,
       -2421.87172628, -2372.05903442, -2322.5951943 , -2274.05160982,
       -2227.59217716, -2185.12815008, -2149.14678544, -2122.16986997,
       -2106.10498358, -2101.83882122, -2109.20786617, -2127.23695207,
       -2154.46284366, -2189.21835077, -2229.83201845, -2274.74685933,
       -2322.57887784, -2372.13681317, -2422.41958306, -2472.60251101,
       -2522.01922226, -2570.14325906, -2616.57169866, -2661.01201546,
       -2703.27282999, -2743.25882353, -2780.9698044 , -2816.50354829,
       -2850.06146746, -2881.95526564, -2912.61143353, -2942.56880874,
       -2972.46289587, -3002.99028175, -3034.84911589, -3068.65910282,
       -3104.87611142])]"
2,9268.804270756516,6.5,"[array([5127.24404941, 5111.34745034, 5089.1665783 , 5061.50609032,
       5029.13521128, 4992.77139871, 4953.07276618, 4910.6359464 ,
       4865.99699043, 4819.6335174 , 4771.96672276, 4723.3621707 ,
       4674.1287577 , 4624.51636993, 4574.71559811, 4524.86865016,
       4475.11043021, 4425.67015543, 4377.06281424, 4330.35223806,
       4287.34660857, 4250.49201338, 4222.3674434 , 4205.00942542,
       4199.44217748, 4205.59999947, 4222.55414693, 4248.84976465,
       4282.80987108, 4322.7509913 , 4367.11139711, 4414.51386285,
       4463.78624887, 4513.95785873, 4564.24350504, 4614.02252522,
       4662.81681321, 4710.26994173, 4756.12826415, 4800.2242082 ,
       4842.4616103 , 4882.80276512, 4921.25680827, 4957.86906983,
       4992.71110802, 5025.87123948, 5057.44551045, 5087.52918538,
       5116.2089475 , 5143.55609177, 5169.62103176, 5194.42943298,
       5217.98023192, 5240.24571683, 5261.17374921, 5280.69211011,
       5298.71487039, 5315.15061159])]","[array([ -599.99946908,  -647.81867417,  -693.03478336,  -735.0895718 ,
        -773.60226087,  -808.33504181,  -839.16526883,  -866.06461583,
        -889.08524711,  -908.35319267,  -924.06948041,  -936.52010488,
        -946.09642211,  -953.3276909 ,  -958.92715152,  -963.85060291,
        -969.35818774,  -977.05438238,  -988.8503145 , -1006.7475427 ,
       -1032.36836656, -1066.35430153, -1107.97404012, -1155.21902065,
       -1205.32763073, -1255.42400896, -1302.99451907, -1346.11509096,
       -1383.48196614, -1414.33502236, -1438.3429825 , -1455.48932834,
       -1465.97531211, -1470.14401987, -1468.42384837, -1461.28787725,
       -1449.2254521 , -1432.72278267, -1412.25001347, -1388.25283979,
       -1361.14725718, -1331.3164386 , -1299.10904366, -1264.8384957 ,
       -1228.78293104, -1191.18564523, -1152.25594509, -1112.17037541,
       -1071.07433302, -1029.08411531,  -986.28947439,  -942.75675664,
        -898.53268994,  -853.64882801,  -808.12657029,  -761.9825526 ,
        -715.23406816,  -667.90405867])]"
3,23841.696167308015,11.5,"[array([8405.25598449, 8440.45584242, 8469.41760838, 8492.26743412,
       8509.39552981, 8521.38284681, 8528.97426798, 8533.09420127,
       8534.90436347, 8535.90479599, 8538.06238468, 8543.90804399,
       8556.42437782, 8578.3744397 , 8611.04707582, 8653.2977755 ,
       8701.80561019, 8752.3103167 , 8800.85794888, 8844.45962223,
       8881.20416186, 8910.09038087, 8930.78450764, 8943.39998382,
       8948.32820127, 8946.1192401 , 8937.40234909, 8922.83556467,
       8903.07584233, 8878.76350371, 8850.51686457, 8818.9345105 ,
       8784.60417071, 8748.11864428, 8710.10137786, 8671.24882554,
       8632.40359301, 8594.67699773, 8559.63126523])]","[array([1190.49250692, 1154.2556005 , 1112.92968416, 1067.99758572,
       1020.64606321,  971.7938058 ,  922.12101034,  872.09389975,
        821.98669379,  771.91891316,  721.95475453,  672.35098999,
        624.03709959,  579.18853517,  541.28820278,  514.16604839,
        500.56379237,  501.32127823,  515.53835564,  541.24165257,
        576.03900128,  617.55654214,  663.66353405,  712.55620348,
        762.76448834,  813.12319179,  862.73092534,  910.90873381,
        957.16413465, 1001.16330042, 1042.71298311, 1081.75365397,
       1118.36577729, 1152.79147109, 1185.4727803 , 1217.10406493,
       1248.68501919, 1281.53399294, 1317.18198002])]"
4,193267.74391187556,20.0,"[array([62288.55062249, 62338.56012613, 62388.91340752, 62438.73418369,
       62487.36858912, 62534.34690768, 62579.34830891, 62622.17032341,
       62662.70339356, 62700.91017754, 62736.80902659, 62770.46100314,
       62801.95985236, 62831.42442619, 62858.99315644, 62884.820269  ,
       62909.07351575, 62931.93327215, 62953.59290056, 62974.26030753,
       62994.16061762, 63013.53983317, 63032.66923002, 63051.85003273,
       63071.41759857, 63091.7439135 , 63113.23669646, 63136.33292656,
       63161.48436918, 63189.13302985, 63219.67581473, 63253.42025475,
       63290.53664621, 63331.01524435, 63374.63850796, 63420.97647507,
       63469.40825739, 63519.16622427, 63569.39430745, 63619.20981113,
       63667.75931252, 63714.26248922, 63758.04142118, 63798.53591627,
       63835.30722785, 63868.0332436 , 63896.49815828, 63920.57916039,
       63940.23203747, 63955.47700366, 63966.38555417, 63973.0687751 ,
       63975.66727424, 63974.34272878, 63969.27094425, 63960.63626678,
       63948.62717012, 63933.43283845, 63915.24057715, 63894.23390075,
       63870.5911666 , 63844.48464202, 63816.07991107, 63785.53554316,
       63753.00296016, 63718.62645073, 63682.54329091, 63644.88393868,
       63605.77227688, 63565.32588496, 63523.65632434, 63480.86942597,
       63437.06557159, 63392.33996231, 63346.78286998, 63300.47986819,
       63253.51204036, 63205.95616346, 63157.88486588, 63109.36675856,
       63060.46653818, 63011.24506113, 62961.75938704, 62912.06278962,
       62862.20473262, 62812.23080792, 62762.18263193, 62712.09769657,
       62662.00917034, 62611.94564582, 62561.93083113, 62511.9831865 ,
       62462.11551254, 62412.33450736, 62362.64032523, 62313.02619308,
       62263.47817511])]","[array([1192.48965202, 1186.31323741, 1187.09986858, 1194.2343312 ,
       1207.07012587, 1224.96848189, 1247.32191974, 1273.56724271,
       1303.19152987, 1335.73363799, 1370.78292449, 1407.97633373,
       1446.99459116, 1487.55797707, 1529.42196557, 1572.37288729,
       1616.22368569, 1660.80977161, 1705.98492687, 1751.6171555 ,
       1797.58432344, 1843.76935698, 1890.05468543, 1936.31552146,
       1982.41149701, 2028.17616848, 2073.40406666, 2117.83542949,
       2161.13965329, 2202.89986658, 2242.60263958, 2279.63805936,
       2313.31525147, 2342.8960781 , 2367.64524608, 2386.88983949,
       2400.0776549 , 2406.82347863, 2406.93572736, 2400.42108078,
       2387.46966994, 2368.42649452, 2343.75564286, 2314.00310077,
       2279.76230445, 2241.64484066, 2200.25724427, 2156.18383609,
       2109.9749572 , 2062.13969231, 2013.14212327, 1963.40022464,
       1913.28664119, 1863.13073121, 1813.22139718, 1763.8103456 ,
       1715.11551699, 1667.3245058 , 1620.59785019, 1575.07211714,
       1530.86274074, 1488.06659526, 1446.76430035, 1407.02226645,
       1368.89449501, 1332.42415204, 1297.64493505, 1264.58225406,
       1233.25424653, 1203.67264507, 1175.84351538, 1149.76787985,
       1125.44224089, 1102.85901591, 1082.00689444, 1062.87112587,
       1045.43374508, 1029.67374114, 1015.56717325, 1003.08723619,
        992.20427603,  982.88575531,  975.09616511,  968.79687919,
        963.94594368,  960.49779288,  958.40287928,  957.60720275,
        958.0517206 ,  959.67161657,  962.39540364,  966.14383183,
        970.8285703 ,  976.35063177,  982.59850923,  989.44600123,
        996.7497149 ])]"
5,82887.17631129276,20.5,"[array([27281.29226258, 27282.94484611, 27281.51286185, 27277.10873796,
       27269.84896342, 27259.85416714, 27247.24984097, 27232.16774828,
       27214.74809686, 27195.14259471, 27173.51855041, 27150.06423189,
       27124.99576635, 27098.56596428, 27071.07559512, 27042.88782172,
       27014.44662468, 26986.29982023, 26959.12604077, 26933.76175416,
       26911.21813046, 26892.66938595, 26879.38996272, 26872.62746498,
       26873.42613751, 26882.44876036, 26899.8573568 , 26925.29143424,
       26957.94115233, 26996.67997695, 27040.21267417, 27087.20540971,
       27136.38204459, 27186.58472114, 27236.80449468, 27286.19022733,
       27334.04346799, 27379.80538594, 27423.04002359, 27463.41661875,
       27500.69262503, 27534.69829341, 27565.32318766, 27592.50471175,
       27616.21856354, 27636.47095006, 27653.29237263, 27666.73279522,
       27676.8580331 , 27683.74723403, 27687.49136625, 27688.19267543,
       27685.96512432, 27680.93588525, 27673.24801554, 27663.06450981,
       27650.57398907, 27635.99835603, 27619.60281742, 27601.70874463,
       27582.70988821, 27563.09238797, 27543.4585643 , 27524.55304579,
       27507.28640228, 27492.74518068, 27482.16902195, 27476.87144274])]","[array([-2006.5850943 , -2056.70366254, -2106.82425838, -2156.76718577,
       -2206.37155659, -2255.49424672, -2304.00946168, -2351.8090637 ,
       -2398.80385741, -2444.92608217, -2490.13340361, -2534.41471048,
       -2577.79796211, -2620.36012033, -2662.23872227, -2703.64374248,
       -2744.8668698 , -2786.28307043, -2828.33653081, -2871.50080195,
       -2916.20369568, -2962.71524685, -3011.01493189, -3060.67777956,
       -3110.83127515, -3160.21785574, -3207.35403087, -3250.73501725,
       -3289.02146334, -3321.16472631, -3346.45934536, -3364.53572838,
       -3375.31564566, -3378.95154868, -3375.76442769, -3366.18840584,
       -3350.72542612, -3329.91044212, -3304.28603569, -3274.38481963,
       -3240.7179263 , -3203.76806157, -3163.98586541, -3121.78858551,
       -3077.56030482, -3031.65315575, -2984.38910322, -2936.06198998,
       -2886.93961644, -2837.26567841, -2787.26141355, -2737.12681388,
       -2687.04124824, -2637.16330855, -2587.62964964, -2538.55254381,
       -2490.0158392 , -2442.06903398, -2394.71932918, -2347.92192186,
       -2301.56962261, -2255.48434681, -2209.41530642, -2163.05168427,
       -2116.06022091, -2068.15788484, -2019.2221329 , -1969.42221583])]"
6,92490.89838435763,30.5,"[array([31794.66823095, 31827.65131097, 31856.78370848, 31882.00976433,
       31903.34161459, 31920.84977666, 31934.65658271, 31944.93296711,
       31951.89911722, 31955.82957275, 31957.06346435, 31956.02065051,
       31953.22441715, 31949.33088159, 31945.16369925, 31941.74891988,
       31940.33710876, 31942.38692989, 31949.47080707, 31963.06844008,
       31984.26394889, 32013.44502309, 32050.14429767, 32093.10419891,
       32140.52733421, 32190.39537688, 32240.74619866, 32289.85567207,
       32336.32331611, 32379.08697663, 32417.39561637, 32450.76292825,
       32478.91622297, 32501.74839478, 32519.2764038 , 32531.60720261,
       32538.91075785, 32541.39927206, 32539.31156092, 32532.90158524,
       32522.43026516, 32508.15985497, 32490.35030551, 32469.25717382,
       32445.13075344, 32418.21619474, 32388.75446419, 32356.98405953,
       32323.14346065, 32287.474367  , 32250.22587707, 32211.65995339,
       32172.05886474, 32131.73590905, 32091.05165341, 32050.43900261,
       32010.44078103, 31971.76113197, 31935.32360942])]","[array([-1250.88965425, -1213.01453507, -1172.11576064, -1128.7103427 ,
       -1083.27562882, -1036.24573435,  -988.00970596,  -938.91044993,
        -889.24355006,  -839.25521764,  -789.1388431 ,  -739.03013228,
        -689.00191368,  -639.06183525,  -589.15975963,  -539.21658403,
        -489.190414  ,  -439.19347062,  -389.65322746,  -341.46775375,
        -296.0603236 ,  -255.24899237,  -220.94119207,  -194.77420803,
        -177.84840908,  -170.62821351,  -172.99282122,  -184.37110666,
        -203.89746042,  -230.54985048,  -263.25495239,  -300.95974916,
        -342.67538977,  -387.50057458,  -434.63098058,  -483.35979368,
        -533.07298775,  -583.24182917,  -633.41422586,  -683.20593909,
        -732.29227544,  -780.40062051,  -827.30402436,  -872.81597171,
        -916.7864476 ,  -959.09942997,  -999.67199553, -1038.45530838,
       -1075.43786101, -1110.65143528, -1144.18030506, -1176.17413473,
       -1206.86469827, -1236.58572239, -1265.79349446, -1295.08293237,
       -1325.18925071, -1356.95964627, -1391.27533474])]"
7,54040.88965951429,31.0,"[array([16399.17681503, 16351.46892723, 16302.24154279, 16252.20747692,
       16201.95119294, 16151.94191007, 16102.54413469, 16054.0240177 ,
       16006.55008319, 15960.18695116, 15914.88113346, 15870.43965084,
       15826.5065528 , 15782.55163614, 15737.90142607, 15691.86113953,
       15643.97867955, 15594.4385487 , 15544.41374238, 15496.08668162,
       15452.20966201, 15415.42208772, 15387.69288655, 15370.08978565,
       15362.83708351, 15365.51943592, 15377.31105902, 15397.16857475,
       15423.9703772 , 15456.6072847 , 15494.03609978, 15535.30758812,
       15579.57798782, 15626.11055221, 15674.27149721, 15723.52317031,
       15773.41618818, 15823.58157411, 15873.72345201, 15923.61253539,
       15973.08042723, 16022.01458384, 16070.35366848, 16118.0829242 ,
       16165.22913614, 16211.85474909, 16258.05078439, 16303.92838247,
       16349.60908935, 16395.21437602, 16440.85524606, 16486.62303054])]","[array([-3411.89909624, -3427.94616294, -3438.30864607, -3443.27773272,
       -3443.19746516, -3438.4465745 , -3429.42876684, -3416.57044526,
       -3400.32554942, -3381.18794107, -3359.71261444, -3336.54805553,
       -3312.4832868 , -3288.5135274 , -3265.9245235 , -3246.3788604 ,
       -3231.94365629, -3224.93959445, -3227.51239493, -3241.02364689,
       -3265.58193907, -3299.9958315 , -3342.13464378, -3389.45063277,
       -3439.42626055, -3489.84921815, -3538.92858276, -3585.30588757,
       -3628.01165365, -3666.40131679, -3700.08930668, -3728.88994313,
       -3752.76812053, -3771.79991867, -3786.14206503, -3796.00879113,
       -3801.6546312 , -3803.36187302, -3801.43157266, -3796.17723861,
       -3787.92045512, -3776.98784402, -3763.70886133, -3748.41399137,
       -3731.43294187, -3713.09246353, -3693.71342696, -3673.60680486,
       -3653.06825793, -3632.37114394, -3611.75799446, -3591.43083732])]"
8,225076.15363880483,32.0,"[array([71866.62083261, 71906.91231287, 71945.94549518, 71983.71501688,
       72020.22193545, 72055.47236047, 72089.47625903, 72122.24642627,
       72153.79761031, 72184.14578024, 72213.30752573, 72241.29957722,
       72268.13843667, 72293.84011035, 72318.4199363 , 72341.89250163,
       72364.2716461 , 72385.57055146, 72405.80191809, 72424.97823365,
       72443.11214139, 72460.21691936, 72476.30708541, 72491.39914684,
       72505.51251783, 72518.67063152, 72530.9022775 , 72542.2431981 ,
       72552.73797795, 72562.44225967, 72571.42531276, 72579.77297028,
       72587.59092661, 72595.00835419, 72602.18174374, 72609.29879358,
       72616.58206262, 72624.29195229, 72632.72839496, 72642.23041191,
       72653.17250169, 72665.95670279, 72680.99926258, 72698.71127949,
       72719.47357741, 72743.60739586, 72771.34398401, 72802.79738327,
       72837.94500752, 72876.61973506, 72918.51522949, 72963.20370584,
       73010.16315494, 73058.80975925, 73108.5310815 , 73158.71637215,
       73208.78159169, 73258.18804905, 73306.4546293 , 73353.16429991,
       73397.96595618, 73440.57276855, 73480.75812183, 73518.3500725 ,
       73553.22505449, 73585.3013733 , 73614.53286292, 73640.90294608,
       73664.41923598, 73685.10874354, 73703.01370274, 73718.18799305,
       73730.69411752, 73740.60068436, 73747.98033535, 73752.90806446,
       73755.45987276, 73755.71170977, 73753.73865655, 73749.61431088,
       73743.41033994, 73735.19617091, 73725.03879395, 73713.00265613,
       73699.14962842, 73683.53903042, 73666.22770056, 73647.27010146,
       73626.7184519 , 73604.62287857, 73581.03158216, 73555.99101313,
       73529.54605377, 73501.74020378, 73472.61576721, 73442.21403934,
       73410.57549243, 73377.73995964, 73343.74681706, 73308.63516368,
       73272.44399967, 73235.21240337, 73196.97970724, 73157.78567325,
       73117.67066731, 73076.67583243, 73034.8432587 , 72992.21614779,
       72948.83896742, 72904.75759026, 72860.01940967, 72814.67342379,
       72768.77027955, 72722.36227137, 72675.50329661, 72628.24878585,
       72580.65565337, 72532.78235821, 72484.68923392, 72436.43933968,
       72388.10020691, 72339.74699027, 72291.46764836, 72243.37081051,
       72195.59682685, 72148.33201414, 72101.82518251, 72056.40416165,
       72012.48850674, 71970.59347025])]","[array([-3509.86214436, -3480.0640812 , -3448.63949757, -3415.71016305,
       -3381.38925626, -3345.78158314, -3308.98390379, -3271.08533706,
       -3232.16781773, -3192.30658646, -3151.57069672, -3110.02352664,
       -3067.72328663, -3024.72351589, -2981.0735628 , -2936.81904583,
       -2892.00229227, -2846.66275319, -2800.83739321, -2754.56105377,
       -2707.86678879, -2660.78617077, -2613.34956524, -2565.58637067,
       -2517.52522028, -2469.19414194, -2420.62067266, -2371.83192565,
       -2322.85461213, -2273.71502704, -2224.43902112, -2175.05200215,
       -2125.57903913, -2076.04518696, -2026.47620721, -1976.89993096,
       -1927.34858544, -1877.86246911, -1828.49537989, -1779.3221284 ,
       -1730.44824427, -1682.02154967, -1634.24461522, -1587.3862993 ,
       -1541.78981092, -1497.87436348, -1456.12786425, -1417.08939858,
       -1381.32233631, -1349.38111432, -1321.77635519, -1298.9433811 ,
       -1281.21828317, -1268.82391804, -1261.86618909, -1260.33931286,
       -1264.13778449, -1273.07245655, -1286.88836251, -1305.28241784,
       -1327.91971889, -1354.44770017, -1384.50783966, -1417.74490537,
       -1453.81392623, -1492.38517162, -1533.14746163, -1575.81012798,
       -1620.10391893, -1665.78110454, -1712.61499721, -1760.39906271,
       -1808.94576104, -1858.08522485, -1907.6638574 , -1957.54291042,
       -2007.59708532, -2057.71318778, -2107.78885547, -2157.73137087,
       -2207.45656528, -2256.88781607, -2305.95513598, -2354.59435157,
       -2402.74636629, -2450.3565032 , -2497.37392171, -2543.75110282,
       -2589.44339733, -2634.40863201, -2678.60676873, -2721.99961232,
       -2764.55056329, -2806.22441215, -2846.98717273, -2886.80595231,
       -2925.64885779, -2963.48493712, -3000.2841571 , -3036.01741942,
       -3070.65661827, -3104.17474495, -3136.54604668, -3167.74624964,
       -3197.75285911, -3226.54555336, -3254.10669204, -3280.42196461,
       -3305.48120987, -3329.27944334, -3351.81813544, -3373.10678927,
       -3393.16487168, -3412.02415441, -3429.73152118, -3446.35228986,
       -3461.97408178, -3476.71123827, -3490.70972947, -3504.15241213,
       -3517.26435809, -3530.31777715, -3543.63578419, -3557.5939072 ,
       -3572.61783128, -3589.17551634, -3607.76170277, -3628.87322448,
       -3652.97480103, -3680.45721752])]"
9,113635.2678999342,33.0,"[array([38270.61191405, 38276.23796258, 38275.20500879, 38268.01380669,
       38255.20531409, 38237.33085879, 38214.93242985, 38188.53026974,
       38158.61558453, 38125.64675047, 38090.04785051, 38052.20873328,
       38012.48607169, 37971.20513161, 37928.6621639 , 37885.12751822,
       37840.84975011, 37796.06114329, 37750.98516892, 37705.84639749,
       37660.88319342, 37616.36307002, 37572.59981074, 37529.97040667,
       37488.92872223, 37450.01197767, 37413.83614943, 37381.07765145,
       37352.44117769, 37328.61676451, 37310.23192124, 37297.80604692,
       37291.71382107, 37292.16211751, 37299.18209698, 37312.63542894,
       37332.23172094, 37357.55339158, 37388.08425973, 37423.23871944,
       37462.38920799, 37504.89051731, 37550.1002142 , 37597.39497132,
       37646.18297329, 37695.91277733, 37746.0791138 , 37796.22614206,
       37845.94865981, 37894.89171944, 37942.74904786, 37989.260606  ,
       38034.20956511, 38077.41892409, 38118.74794426, 38158.08853809,
       38195.36171364, 38230.51414851, 38263.51494334, 38294.3525863 ,
       38323.03214422, 38349.57268459, 38374.0049226 , 38396.36908125,
       38416.71294747, 38435.09010512, 38451.55832531, 38466.17809629,
       38479.01127945, 38490.11988374, 38499.56495949, 38507.40562274,
       38513.69823354, 38518.49576498, 38521.84741475, 38523.79852542,
       38524.39089418, 38523.66356511, 38521.65420655, 38518.40118128,
       38513.94641629, 38508.33917088, 38501.64078473, 38493.93046186,
       38485.31210916, 38475.92219926, 38465.93856046])]","[array([-1591.25752054, -1641.32191037, -1691.66247403, -1741.4697467 ,
       -1790.10942542, -1837.09845085, -1882.08248891, -1924.81611268,
       -1965.14616163, -2002.99830747, -2038.36662826, -2071.30588673,
       -2101.92616349, -2130.38947353, -2156.90796908, -2181.7432878 ,
       -2205.20652726, -2227.65820595, -2249.50740085, -2271.20903728,
       -2293.25807589, -2316.17916142, -2340.51029199, -2366.77941386,
       -2395.47373001, -2427.00301381, -2461.66017293, -2499.58419768,
       -2540.73168702, -2584.86268996, -2631.54444952, -2680.1733309 ,
       -2730.01181158, -2780.23497263, -2829.98004406, -2878.3931667 ,
       -2924.66912324, -2968.08171143, -3008.00416638, -3043.92031012,
       -3075.42785726, -3102.23561316, -3124.15629532, -3141.09651981,
       -3153.04522132, -3160.06148676, -3162.26251616, -3159.8121987 ,
       -3152.9106113 , -3141.78460956, -3126.67957983, -3107.85235048,
       -3085.5652133 , -3060.080976  , -3031.65895044, -3000.55177358,
       -2967.00295721, -2931.2450661 , -2893.4984298 , -2853.97030167,
       -2812.85438715, -2770.33067253, -2726.56549457, -2681.71180064,
       -2635.90955717, -2589.28627257, -2541.95760779, -2494.02805402,
       -2445.59166236, -2396.73281397, -2347.527022  , -2298.04175708,
       -2248.33728769, -2198.46752321, -2148.48084296, -2098.42088668,
       -2048.32727211, -1998.23619293, -1948.1808357 , -1898.191539  ,
       -1848.29560387, -1798.51665635, -1748.87346757, -1699.37816596,
       -1650.03384423, -1600.83169133, -1551.74798778])]"
