Cutoff,downstream_distance,time,x,y
0,158266.40386247923,0.5,"[array([54340.53855297, 54326.60024811, 54305.59891743, 54278.29625872,
       54245.59151914, 54208.44650854, 54167.81992496, 54124.61603588,
       54079.65172562, 54033.6483931 , 53987.26027077, 53941.15287168,
       53896.1270143 , 53853.22609959, 53813.69928417, 53778.73023255,
       53749.01594324, 53724.41310456, 53703.80201297, 53685.15917109,
       53665.7778975 , 53642.69061706, 53613.41107659, 53576.8018482 ,
       53533.49150992, 53485.50523882, 53435.41959587, 53385.59603947,
       53337.76550536, 53292.91741171, 53251.34313761, 53212.71804813,
       53176.16786712, 53140.32372823, 53103.42925216, 53063.63137879,
       53019.63101926, 52971.57981419, 52921.52807566, 52872.86550575,
       52829.14399233, 52793.12106874, 52766.41046313, 52749.59139987,
       52742.49602318, 52744.49600189, 52754.72254978, 52772.2144099 ,
       52796.00884574, 52825.19302807, 52858.92980067, 52896.46767988,
       52937.14160105, 52980.36855649, 53025.64069058, 53072.51739829,
       53120.6173273 , 53169.61078059, 53219.21276818, 53269.17680658,
       53319.28947653, 53369.36570078, 53419.24467845, 53468.78640238,
       53517.86868475, 53566.38461954, 53614.24041729, 53661.35355484,
       53707.65119108, 53753.06880763, 53797.54904042, 53841.04067537,
       53883.49778711, 53924.87900482, 53965.14689408, 54004.26744666,
       54042.20967377, 54078.9452999 , 54114.44855642, 54148.6960751 ,
       54181.66688249, 54213.34249663, 54243.70712773, 54272.74798489,
       54300.45569096, 54326.82480819, 54351.85447767, 54375.54917665,
       54397.91959836, 54418.9836609 , 54438.7676525 , 54457.30752226,
       54474.65032597, 54490.85583616, 54505.99832328, 54520.1685084 ,
       54533.47567633])]","[array([-2782.7252432 , -2830.98413737, -2876.61498467, -2918.77415217,
       -2956.88450991, -2990.66307576, -3020.13418397, -3045.63685164,
       -3067.83243951, -3087.71236109, -3106.59367088, -3126.07251951,
       -3147.88270929, -3173.60708376, -3204.28431351, -3240.1098803 ,
       -3280.44025944, -3324.09994445, -3369.7774205 , -3416.26509656,
       -3462.40520483, -3506.76465585, -3547.29330112, -3581.39532343,
       -3606.57266105, -3621.20435031, -3624.90334938, -3618.35740407,
       -3602.9291146 , -3580.27853053, -3552.1159525 , -3520.08941491,
       -3485.78414301, -3450.81991318, -3417.04847347, -3386.82801564,
       -3363.17347834, -3349.39099858, -3348.10648874, -3360.3008384 ,
       -3385.08036517, -3420.20946509, -3462.88765571, -3510.3517238 ,
       -3560.19771593, -3610.48967701, -3659.74968236, -3706.89686603,
       -3751.17290485, -3792.07131902, -3829.2770401 , -3862.61748756,
       -3892.02421204, -3917.50344398, -3939.1138163 , -3956.94971506,
       -3971.12897001, -3981.78385151, -3989.05456292, -3993.08460078,
       -3994.01750228, -3991.99461484, -3987.153612  , -3979.62754928,
       -3969.54430629, -3957.02630203, -3942.1904007 , -3925.147949  ,
       -3906.00490296, -3884.86201563, -3861.8150663 , -3836.95511885,
       -3810.36880165, -3782.13860411, -3752.34318732, -3721.05770631,
       -3688.35414222, -3654.30164151, -3618.96685923, -3582.4143018 ,
       -3544.70666428, -3505.9051559 , -3466.06980682, -3425.2597488 ,
       -3383.53346173, -3340.94897857, -3297.56404101, -3253.43619964,
       -3208.62285333, -3163.18122502, -3117.16827376, -3070.64054733,
       -3023.65398537, -2976.2636909 , -2928.52369945, -2880.4867897 ,
       -2832.2043995 ])]"
1,141656.21503226494,9.0,"[array([45635.4605788 , 45668.8298148 , 45698.71229016, 45725.05560459,
       45747.86372217, 45767.19547806, 45783.16792101, 45795.96594337,
       45805.85997991, 45813.23376742, 45818.62397467, 45822.77240692,
       45826.68775061, 45831.7043251 , 45839.50531315, 45852.04144119,
       45871.24584578, 45898.51510509, 45934.14242178, 45977.04876641,
       46025.00573189, 46075.20270989, 46124.84021519, 46171.53074711,
       46213.46909209, 46249.43693058, 46278.72233855, 46301.01186454,
       46316.28627065, 46324.73269815, 46326.6760801 , 46322.52818765,
       46312.75121383, 46297.83267962, 46278.26885123, 46254.55439208,
       46227.17647616, 46196.61202136, 46163.32707658, 46127.77776636,
       46090.41261938, 46051.67661517, 46012.01779855, 45971.89751808,
       45931.80459558, 45892.27121393, 45853.88387911, 45817.27843285,
       45783.10828177])]","[array([-2974.33681274, -2936.88599138, -2896.60583465, -2853.93403744,
       -2809.27919945, -2763.01944235, -2715.50133951, -2667.03821659,
       -2617.90693777, -2568.34275261, -2518.53329055, -2468.61646642,
       -2418.69426357, -2368.88540879, -2319.44957355, -2271.00424751,
       -2224.78622565, -2182.78317343, -2147.51789581, -2121.4746959 ,
       -2106.46125414, -2103.24562372, -2111.5680902 , -2130.39710146,
       -2158.24957348, -2193.46323205, -2234.38466931, -2279.4798041 ,
       -2327.38759271, -2376.9374688 , -2427.1460156 , -2477.20324332,
       -2526.45491924, -2574.38476119, -2620.59866191, -2664.81213897,
       -2706.84164003, -2746.59997936, -2784.09588025, -2819.4372105 ,
       -2852.83688812, -2884.61947718, -2915.22512069, -2945.20577255,
       -2975.20719645, -3005.93009576, -3038.06699778, -3072.21986686,
       -3108.81551031])]"
2,9312.242935044666,10.0,"[array([5110.39508737, 5088.30569988, 5060.74239319, 5028.46937412,
       4992.20051022, 4952.5915079 , 4910.23750447, 4865.67370987,
       4819.37733113, 4771.76938779, 4723.21534336, 4674.02394643,
       4624.44479901, 4574.66807699, 4524.83569387, 4475.08316337,
       4425.64311435, 4377.04027156, 4330.35788816, 4287.42944688,
       4250.71604612, 4222.7842577 , 4205.63227266, 4200.24025003,
       4206.51249383, 4223.51090026, 4249.78746032, 4283.68034767,
       4323.52308024, 4367.76902462, 4415.05265481, 4464.20998854,
       4514.27543836, 4564.46657692, 4614.16383443, 4662.88910064,
       4710.28528281, 4756.0977178 , 4800.15767243, 4842.36780463,
       4882.68928138, 4921.13018902, 4957.73488785, 4992.574031  ,
       5025.73507285, 5057.31321841, 5087.40289528, 5116.08994691,
       5143.44482961, 5169.51713523, 5194.33175041, 5217.88690899,
       5240.15430981, 5261.08137527, 5280.5956315 , 5298.6111061 ])]","[array([ -647.28991837,  -692.4250459 ,  -734.4208687 ,  -772.89435496,
        -807.60490354,  -838.42697045,  -865.3294897 ,  -888.36218687,
        -907.64902102,  -923.38933695,  -935.86783664,  -945.47502524,
        -952.73984246,  -958.37596487,  -963.34098288,  -968.89883061,
        -976.66019266,  -988.54426425, -1006.55682437, -1032.30849071,
       -1066.40705657, -1108.07908724, -1155.29050569, -1205.28389736,
       -1255.21028708, -1302.58981646, -1345.52694103, -1382.73634103,
       -1413.46661061, -1437.38800685, -1454.48114796, -1464.94224792,
       -1469.10868305, -1467.40335973, -1460.29453779, -1448.26758133,
       -1431.80555931, -1411.37623254, -1387.42355057, -1360.36227567,
       -1330.57474344, -1298.40907138, -1264.17835284, -1228.16053983,
       -1190.59883756, -1151.70251744, -1111.64811573, -1070.58102979,
       -1028.61755859,  -985.84745865,  -942.3370943 ,  -898.13324258,
        -853.2675587 ,  -807.76161515,  -761.63230383,  -714.89725548])]"
3,23924.61239080946,17.5,"[array([8424.76475493, 8456.18966921, 8481.45067676, 8500.83684066,
       8514.85242092, 8524.17313276, 8529.64588512, 8532.33213778,
       8533.59460164, 8535.22076979, 8539.55702974, 8549.50832733,
       8568.05328452, 8597.10458793, 8636.34873726, 8683.08578717,
       8733.23422973, 8782.65967769, 8828.03851814, 8867.12094706,
       8898.62970522, 8922.0305692 , 8937.30228102, 8944.75169873,
       8944.87995892, 8938.29145314, 8925.63493115, 8907.56751844,
       8884.73477923, 8857.76212191, 8827.25461413, 8793.80369792,
       8758.00073833, 8720.45955342, 8681.85367369, 8642.97992353,
       8604.86838947, 8568.95663102])]","[array([1167.70401183, 1128.38753137, 1084.89416525, 1038.52076854,
        990.28685944,  940.96364089,  891.0998858 ,  841.04332356,
        790.9682696 ,  740.9448928 ,  691.1249903 ,  642.14911223,
        595.74409588,  555.02723287,  523.86618192,  505.48391339,
        501.36375262,  511.12096237,  533.06855494,  564.90842271,
        604.24064517,  648.84906899,  696.82361778,  746.58768294,
        796.87882146,  846.71098292,  895.3331759 ,  942.19191876,
        986.90098595, 1029.22033762, 1069.04577585, 1106.41116901,
       1141.50548823, 1174.70676201, 1206.63231146, 1238.19514739,
       1270.63637185, 1305.46452062])]"
4,192932.6457292203,31.0,"[array([62293.19891337, 62343.15776604, 62393.38908461, 62443.03898245,
       62491.47104252, 62538.2288516 , 62583.00156537, 62625.59412248,
       62665.90241086, 62703.8930673 , 62739.58734621, 62773.04844415,
       62804.3717116 , 62833.67726787, 62861.1046306 , 62886.80906458,
       62910.9594371 , 62933.73743591, 62955.33805476, 62975.97127624,
       62995.86486956, 63015.26815982, 63034.45649411, 63053.73590696,
       63073.44715419, 63093.96783844, 63115.71083175, 63139.11673358,
       63164.63792883, 63192.7123019 , 63223.72622165, 63257.96920452,
       63295.58623665, 63336.53681157, 63380.57058691, 63427.22702725,
       63475.86092453, 63525.68934935, 63575.85093424, 63625.46695312,
       63673.69530412, 63719.77190085, 63763.03758812, 63802.95148588,
       63839.09327059, 63871.15746257, 63898.94264036, 63922.33799471,
       63941.30901609, 63955.88352979, 63966.13881805, 63972.19021375,
       63974.1813045 , 63972.27572812, 63966.65044753, 63957.49034542,
       63944.98396195, 63929.32019955, 63910.68583082, 63889.26366264,
       63865.23122871, 63838.75990143, 63810.01433221, 63779.15214461,
       63746.32381906, 63711.67271938, 63675.33522139, 63637.44091231,
       63598.11283617, 63557.46776634, 63515.61649023, 63472.66409541,
       63428.71024864, 63383.84946182, 63338.17134032, 63291.76081078,
       63244.69832569, 63197.06004355, 63148.91798293, 63100.34014963,
       63051.39063555, 63002.12968822, 62952.61374927, 62902.89545986,
       62853.02363058, 62803.04317261, 62752.99498663, 62702.91580511,
       62652.83798407, 62602.78924045, 62552.79233351, 62502.86469195,
       62453.01799555, 62403.25773076, 62353.58275751, 62303.9849495 ,
       62254.44900688])]","[array([1194.31356859, 1188.74887234, 1190.07947703, 1197.69075972,
       1210.94003729, 1229.19394705, 1251.85100945, 1278.35403336,
       1308.19578344, 1340.92031827, 1376.12164675, 1413.44080448,
       1452.56206823, 1493.20876364, 1535.13894058, 1578.14106784,
       1622.02981174, 1666.64189929, 1711.83201184, 1757.46860238,
       1803.42946869, 1849.59684199, 1895.85166263, 1942.06662242,
       1988.09748288, 2033.7721925 , 2078.87752566, 2123.14349128,
       2166.22674013, 2207.69563875, 2247.02128334, 2283.57978538,
       2316.67067542, 2345.5535064 , 2369.49998678, 2387.85388227,
       2400.08781045, 2405.84647569, 2404.96962833, 2397.49329585,
       2383.63248753, 2363.75127674, 2338.32672748, 2307.91216314,
       2273.10360979, 2234.51154766, 2192.73873679, 2148.3639566 ,
       2101.93097344, 2053.94182478, 2004.85347899, 1955.07700852,
       1904.97854396, 1854.88141811, 1805.0690427 , 1755.78817643,
       1707.25233843, 1659.64519622, 1613.12381535, 1567.82170046,
       1523.85158931, 1481.30798299, 1440.26941113, 1400.80044061,
       1362.95344282, 1326.77013774, 1292.28293496, 1259.51609179,
       1228.4867083 , 1199.20557762, 1171.67790863, 1145.9039363 ,
       1121.87943327, 1099.59613451, 1079.04208499, 1060.20191904,
       1043.05707786, 1027.58597074, 1013.76408339, 1001.56403573,
        990.95558952,  981.90560476,  974.37794186,  968.33330457,
        963.72901653,  960.51872154,  958.65199509,  958.07385153,
        958.72412762,  960.53672014,  963.43865123,  967.34893253,
        972.17719642,  977.82206282,  984.16921189,  991.08914099,
        998.43459862])]"
5,82890.80156289195,32.0,"[array([27281.04006141, 27281.85175494, 27279.60669106, 27274.41846753,
       27266.4047972 , 27255.6877538 , 27242.39467494, 27226.65977519,
       27208.62656032, 27188.45117467, 27166.30686033, 27142.38976375,
       27116.92640505, 27090.18324048, 27062.47891145, 27034.19995589,
       27005.82081714, 26977.92852025, 26951.25058426, 26926.6804489 ,
       26905.28737602, 26888.28994679, 26876.97170671, 26872.5337257 ,
       26875.91102775, 26887.60861323, 26907.61345865, 26935.40742916,
       26970.06489171, 27010.39404644, 27055.08049743, 27102.80604016,
       27152.33228419, 27202.55040339, 27252.50388218, 27301.39236034,
       27348.56369223, 27393.49961019, 27435.7986905 , 27475.15895815,
       27511.36148124, 27544.25564404, 27573.7463691 , 27599.78331149,
       27622.35191398, 27641.4661513 , 27657.16277515, 27669.49688286,
       27678.53866028, 27684.37118623, 27687.08923025, 27686.79902409,
       27683.61904119, 27677.68187608, 27669.13737822, 27658.15726005,
       27644.94146862, 27629.72668242, 27612.79737078, 27594.49992308,
       27575.26037616, 27555.60609487, 27536.19101288, 27517.82195382,
       27501.47901607, 27488.3154948 , 27479.61508236])]","[array([-2020.77751673, -2070.89296357, -2120.96177161, -2170.80897895,
       -2220.27817493, -2269.23062097, -2317.54502159, -2365.11811137,
       -2411.86627162, -2457.72844182, -2502.67062981, -2546.69232231,
       -2589.83500143, -2632.19269391, -2673.92388653, -2715.26305265,
       -2756.52826586, -2798.11886761, -2840.49431156, -2884.12358663,
       -2929.39719007, -2976.50482641, -3025.30317796, -3075.22019494,
       -3125.24578873, -3174.03045945, -3220.06627543, -3261.89088247,
       -3298.25553842, -3328.22494793, -3351.20749777, -3366.93353515,
       -3375.40428412, -3376.83022755, -3371.57120437, -3360.0845495 ,
       -3342.88349561, -3320.50568259, -3293.49049121, -3262.36354531,
       -3227.62675531, -3189.75248223, -3149.18066165, -3106.31797952,
       -3061.53840926, -3015.18459609, -2967.56970965, -2918.97948596,
       -2869.67424852, -2819.89074132, -2769.84362666, -2719.72650014,
       -2669.7122556 , -2619.9525973 , -2570.57644865, -2521.68696146,
       -2473.35680994, -2425.62151324, -2378.47075468, -2331.83820046,
       -2285.59136357, -2239.52483716, -2193.36284093, -2146.78011044,
       -2099.45217348, -2051.14351383, -2001.83000136])]"
6,92579.66166065446,48.5,"[array([31788.1574319 , 31821.76461531, 31851.54786066, 31877.43790114,
       31899.4349436 , 31917.59891923, 31932.04245818, 31942.92711231,
       31950.46333923, 31954.91482945, 31956.60786701, 31955.94650172,
       31953.43426554, 31949.70274428, 31945.54597564, 31941.95629396,
       31940.15008215, 31941.55931751, 31947.75042371, 31960.23351787,
       31980.16902109, 32008.05957892, 32043.56655365, 32085.5443099 ,
       32132.26914239, 32181.75227669, 32232.02364479, 32281.32596436,
       32328.21264441, 32371.57190582, 32410.60561923, 32444.78611698,
       32473.80628382, 32497.53150512, 32515.95748472, 32529.17523589,
       32537.34312008, 32540.66515655, 32539.37461029, 32533.72187024,
       32523.96573683, 32510.3673792 , 32493.18636794, 32472.67832196,
       32449.09382512, 32422.67836604, 32393.67313776, 32362.31660393,
       32328.84680173, 32293.5044214 , 32256.5368001 , 32218.20313955,
       32178.78157579, 32138.57929732, 32097.94779942, 32057.30645401,
       32017.178156  , 31978.23899944, 31941.37649325])]","[array([-1256.7267051 , -1219.4824196 , -1179.1225904 , -1136.16882609,
       -1091.10431129, -1044.36978914,  -996.36144083,  -947.42968743,
        -897.87802645,  -847.96112126,  -797.88155939,  -747.7851424 ,
        -697.75555292,  -647.81118888,  -597.91033211,  -547.97566255,
        -497.95380484,  -447.92466414,  -398.25833889,  -349.77630361,
        -303.82584954,  -262.17717709,  -226.73798861,  -199.19505344,
        -180.73137221,  -171.90478631,  -172.68018896,  -182.55398625,
        -200.70691702,  -226.14383198,  -257.80269837,  -294.63050312,
        -335.63094764,  -379.89087162,  -426.59189673,  -475.01247164,
        -524.52411343,  -574.58447193,  -624.72895919,  -674.56205668,
        -723.74898454,  -772.00813957,  -819.10453931,  -864.84441905,
        -909.07109624,  -951.66222973,  -992.52865027, -1031.61501773,
       -1068.90265971, -1104.41504813, -1138.22643825, -1170.47415801,
       -1201.37476502, -1231.24356776, -1260.51549926, -1289.76258741,
       -1319.69889139, -1351.15802781, -1385.02363271])]"
7,54207.577396416804,50.0,"[array([16401.67999683, 16354.14038027, 16305.04500982, 16255.10810098,
       16204.91666334, 16154.94321471, 16105.55616443, 16057.0262268 ,
       16009.52740455, 15963.13112367, 15917.79247947, 15873.32927539,
       15829.39825861, 15785.48178343, 15740.91432753, 15694.99570245,
       15647.24403828, 15597.78821301, 15547.73355187, 15499.2023207 ,
       15454.91047219, 15417.4946536 , 15388.9544614 , 15370.41133549,
       15362.15168711, 15363.8183103 , 15374.63237254, 15393.58390689,
       15419.57198002, 15451.49764402, 15488.32017341, 15529.08748987,
       15572.94963785, 15619.16177183, 15667.08108498, 15716.16059228,
       15765.9416153 , 15816.04608871, 15866.16931663, 15916.07347185,
       15965.58189488, 16014.57407528, 16062.98106338, 16110.78095667,
       16157.99403768, 16204.67712521, 16250.91676343, 16296.8210383 ,
       16342.5100867 , 16388.10572601, 16433.72100715, 16479.4507652 ])]","[array([-3411.99346409, -3428.24409394, -3438.82595005, -3444.02248927,
       -3444.17122419, -3439.64521324, -3430.84291663, -3418.18546086,
       -3402.12089248, -3383.13591604, -3361.77638333, -3338.67849303,
       -3314.61467719, -3290.55838683, -3267.76746838, -3247.87332612,
       -3232.9199712 , -3225.22734805, -3226.9698447 , -3239.5650144 ,
       -3263.19666653, -3296.75466393, -3338.17922876, -3384.97015679,
       -3434.62993341, -3484.94241166, -3534.09638514, -3580.70428819,
       -3623.76472494, -3662.60232871, -3696.80398726, -3726.16059774,
       -3750.61779832, -3770.23618299, -3785.16017739, -3795.59427535,
       -3801.78527139, -3804.00923765, -3802.56216761, -3797.75338637,
       -3789.90098483, -3779.32866468, -3766.36347931, -3751.33402694,
       -3734.56869574, -3716.39358403, -3697.12972776, -3677.08928008,
       -3656.57032959, -3635.85015193, -3615.17689728, -3594.76003468])]"
8,225221.58159931056,51.5,"[array([71863.6681166 , 71904.03626147, 71943.14824383, 71980.99810776,
       72017.58642158, 72052.91889956, 72087.0051969 , 72119.85786989,
       72151.49149078, 72181.92190614, 72211.16562725, 72239.23934167,
       72266.15953582, 72291.94221995, 72316.60274823, 72340.1557287 ,
       72362.61501968, 72383.99381173, 72404.30479646, 72423.56042686,
       72441.77327626, 72458.95650696, 72475.12446314, 72490.29340636,
       72504.48241654, 72517.71448488, 72530.01782911, 72541.42746438,
       72551.98706411, 72561.7511441 , 72570.7875976 , 72579.18059769,
       72587.0338624 , 72594.47424473, 72601.65555764, 72608.76246775,
       72616.01418343, 72623.66751633, 72632.01871009, 72641.403216  ,
       72652.1923887 , 72664.78594714, 72679.5991137 , 72697.04375084,
       72717.50367531, 72741.30563315, 72768.68892442, 72799.77789616,
       72834.56190768, 72872.88654985, 72914.45796482, 72958.8596407 ,
       73005.57884048, 73054.03849798, 73103.63019854, 73153.74456607,
       73203.79658668, 73253.24468633, 73301.60345409, 73348.45063493,
       73393.42940854, 73436.24709298, 73476.67135619, 73514.52486547,
       73549.67911598, 73582.04799146, 73611.58144511, 73638.25955326,
       73662.08709026, 73683.08869638, 73701.30465741, 73716.78727893,
       73729.59781683, 73739.80391364, 73747.47748493, 73752.69299992,
       73755.52610227, 73756.05252147, 73754.34722957, 73750.48380366,
       73744.53395902, 73736.56722313, 73726.65072451, 73714.84907501,
       73701.22432681, 73685.83598924, 73668.74109228, 73649.99428652,
       73629.64797088, 73607.75244095, 73584.35605236, 73559.50539451,
       73533.24547107, 73505.61988432, 73476.67102132, 73446.44024004,
       73414.96805469, 73382.29431925, 73348.4584091 , 73313.4994007 ,
       73277.45624947, 73240.36796632, 73202.27379311, 73163.21337744,
       73123.22694657, 73082.35548005, 73040.64087949, 72998.12613306,
       72954.85547077, 72910.87450481, 72866.23034791, 72820.97170114,
       72775.14890275, 72728.81393216, 72682.02036982, 72634.8233284 ,
       72587.27939609, 72539.44667507, 72491.38506262, 72443.15701313,
       72394.8291374 , 72346.47513012, 72298.18063833, 72250.05073127,
       72202.22050499, 72154.86891944, 72108.23509687, 72062.63498916,
       72018.47477761, 71976.25618164])]","[array([-3512.25611027, -3482.58770027, -3451.28422777, -3418.46797206,
       -3384.25263068, -3348.74352575, -3312.03792162, -3274.2254222 ,
       -3235.38842301, -3195.60259727, -3154.93740033, -3113.45658005,
       -3071.2186836 , -3028.27755388, -2984.68281027, -2940.48031023,
       -2895.71258903, -2850.41927596, -2804.63748539, -2758.4021817 ,
       -2711.74651656, -2664.702137  , -2617.29946194, -2569.56792459,
       -2521.53617692, -2473.23225273, -2424.68368546, -2375.91757875,
       -2326.96063136, -2277.83912499, -2228.578896  , -2179.20533195,
       -2129.74346355, -2080.21826562, -2030.65533719, -1981.08220049,
       -1931.53053443, -1882.03972298, -1832.66212369, -1783.47039831,
       -1734.5670371 , -1686.09579197, -1638.2540895 , -1591.30468733,
       -1545.58406354, -1501.50461951, -1459.54809722, -1420.24886682,
       -1384.16776679, -1351.85940328, -1323.83746088, -1300.54304798,
       -1282.32027856, -1269.40156481, -1261.90310729, -1259.82940516,
       -1263.0845905 , -1271.48804939, -1284.79197068, -1302.69893709,
       -1324.87824464, -1350.98017187, -1380.64785218, -1413.52671243,
       -1449.27163873, -1487.55213912, -1528.05581695, -1570.49047094,
       -1614.58511495, -1660.09017517, -1706.77708206, -1754.43743554,
       -1802.88188532, -1851.9388371 , -1901.45306895, -1951.2843202 ,
       -2001.30589815, -2051.40333386, -2101.47310799, -2151.42145947,
       -2201.16328382, -2250.62112373, -2299.72425108, -2348.40783784,
       -2396.61221164, -2444.28219095, -2491.36649471, -2537.81722062,
       -2583.58938692, -2628.64053238, -2672.93036962, -2716.42048765,
       -2759.07409939, -2800.85583119, -2841.73155145, -2881.66823626,
       -2920.63387094, -2958.59738695, -2995.5286347 , -3031.39839427,
       -3066.17842706, -3099.84157342, -3132.36190335, -3163.71492959,
       -3193.87789582, -3222.83015585, -3250.55366386, -3277.03360069,
       -3302.25916614, -3326.22457337, -3348.93028721, -3370.38455457,
       -3390.60527984, -3409.62230195, -3427.48012942, -3444.2411842 ,
       -3459.98958986, -3474.83551037, -3488.91999462, -3502.42019896,
       -3515.55473218, -3528.5886787 , -3541.8375914 , -3555.66940061,
       -3570.50278401, -3586.80016794, -3605.05336022, -3625.76013612,
       -3649.39123958, -3676.34939614])]"
9,113801.2281331064,53.0,"[array([38267.3793999 , 38275.49141138, 38276.81232832, 38271.81163098,
       38261.0135229 , 38244.96290723, 38224.20240872, 38199.25752235,
       38170.62756189, 38138.78063759, 38104.15136027, 38067.14034629,
       38028.11489988, 37987.41049654, 37945.33290305, 37902.1609613 ,
       37858.15024204, 37813.53793731, 37768.54948454, 37723.40745838,
       37678.34315856, 37633.6109791 , 37589.50499353, 37546.37622525,
       37504.64792512, 37464.8251794 , 37427.49481522, 37393.31235184,
       37362.97484736, 37337.18153577, 37316.58720307, 37301.75520787,
       37293.11719342, 37290.94489535, 37295.33672801, 37306.21899494,
       37323.359385  , 37346.38922899, 37374.83075199, 37408.12598371,
       37445.66475744, 37486.81007161, 37530.91984307, 37577.3646727 ,
       37625.54166042, 37674.88456855, 37724.87077425, 37775.02550788,
       37824.92387421, 37874.19111974, 37922.50155837, 37969.57651   ,
       38015.1815482 , 38059.12329935, 38101.24598647, 38141.42786899,
       38179.57769318, 38215.63123823, 38249.54801732, 38281.30817306,
       38310.90958968, 38338.36523121, 38363.70070457, 38386.95203839,
       38408.16366312, 38427.38657446, 38444.67666075, 38460.09317626,
       38473.69734464, 38485.55108272, 38495.71584131, 38504.25156996,
       38511.21582299, 38516.663038  , 38520.64403149, 38523.20577143,
       38524.39150108, 38524.24130167, 38522.79319256, 38520.08487486,
       38516.15622619, 38511.05264995, 38504.82936963, 38497.5567369 ,
       38489.32659106, 38480.25966417, 38470.513969  , 38460.29402476])]","[array([-1573.45683852, -1623.06748908, -1673.30187708, -1723.28672743,
       -1772.32991003, -1819.89738463, -1865.59055841, -1909.12580666,
       -1950.31692037, -1989.0606853 , -2025.32549526, -2059.14275117,
       -2090.60072616, -2119.84054273, -2147.05388201, -2172.48200724,
       -2196.41561873, -2219.19495364, -2241.20939165, -2262.89562697,
       -2284.7332353 , -2307.23625069, -2330.93927566, -2356.37683881,
       -2384.05538256, -2414.41854787, -2447.80826148, -2484.42613224,
       -2524.30111736, -2567.26955844, -2612.97211168, -2660.86909664,
       -2710.27229587, -2760.38837723, -2810.36766786, -2859.35213715,
       -2906.51775433, -2951.10823727, -2992.45902775, -3030.01175872,
       -3063.32039791, -3092.05069955, -3115.97469008, -3134.96178349,
       -3148.96787878, -3158.0235111 , -3162.22185774, -3161.70716381,
       -3156.66395856, -3147.30728284, -3133.87403498, -3116.61546205,
       -3095.79076724, -3071.66176838, -3044.48852076, -3014.52580632,
       -2982.02038755, -2947.20892591, -2910.31646913, -2871.55541883,
       -2831.12489796, -2789.21044623, -2745.98398083, -2701.60396855,
       -2656.21576407, -2609.95207725, -2562.93353971, -2515.26934776,
       -2467.0579641 , -2418.38786548, -2369.33832635, -2319.98023034,
       -2270.37690112, -2220.58494216, -2170.65507111, -2120.63292775,
       -2070.55982592, -2020.47340867, -1970.40815174, -1920.39564575,
       -1870.46457216, -1820.64027636, -1770.94383941, -1721.39056629,
       -1671.98785713, -1622.7325263 , -1573.60780408, -1524.58051741])]"
