Cutoff,downstream_distance,time,radius,cutlen,,,
0,271841.9198,0.5,742.6574297,11461.18828,,400.2891374,5905.692257
1,221420.7478,3,486.7591074,7212.032007,,,
2,160433.7867,9.5,573.077532,7060.148515,,,
3,111056.2349,22.5,524.923538,5509.712973,,,
4,295240.2086,31,288.7562716,3461.183786,,,
5,56537.31195,32.5,679.4246381,9610.827542,,,
6,190089.8142,34.5,353.651268,3660.938899,,,
7,161829.0892,39.5,287.9097134,3511.617094,,,
8,255108.2766,41,387.3175945,4411.150874,,,
9,328541.7822,47.5,643.689706,10060.53108,,,
10,242443.1062,60,632.3523338,10966.03146,,,
11,32548.26918,64,359.5032326,3860.254665,,,
12,319368.2219,69.5,525.187678,6109.974185,,,
13,242019.7809,72,205.6789618,10363.60029,,,
14,119191.6697,72.5,334.2841646,4112.212423,,,
15,67951.15639,78.5,319.1825246,3962.534949,,,
16,297279.0994,79.5,349.3288901,4361.903267,,,
17,204612.02,82,327.1617163,3261.336384,,,
18,286391.5631,89,287.4926576,8966.339203,,,
19,95538.18342,94.5,301.4842576,3611.226486,,,
20,150468.8332,95.5,487.9578527,6513.08764,,,
21,181669.169,103.5,441.5471979,5613.249615,,,
22,233295.7272,106.5,310.6977383,3512.05419,,,
23,253883.1954,109,260.4564432,2709.750083,,,
24,233432.3475,114.5,316.4167975,3410.194485,,,
25,188263.4709,115,415.1553682,9012.817787,,,
26,346638.1262,115.5,510.5205082,6060.643076,,,
27,309062.5741,120.5,322.9919608,3360.219369,,,
28,164246.1159,126.5,372.3972402,10262.41959,,,
29,277157.4673,138.5,448.8118281,5110.022155,,,
30,182939.018,153.5,292.3236939,7316.023012,,,
31,140371.2681,159.5,371.393814,4310.632222,,,
32,64804.93864,165.5,399.8954592,7412.470594,,,
33,409148.1089,170,769.9988747,19771.48858,,,
34,399943.2511,170.5,460.6334477,5410.657357,,,
35,48282.65549,178.5,449.9935065,12367.34537,,,
36,26784.68639,181,436.7534835,5411.365471,,,
37,95198.51426,201.5,330.621276,10617.6703,,,
38,306805.0822,203,363.2455336,4462.170375,,,
39,10163.91098,204.5,402.9766348,8713.703946,,,
40,192113.8514,212.5,354.8015337,3910.84179,,,
41,293375.4251,218,408.9624063,4409.982587,,,
42,397323.7318,220,635.6832725,11260.33283,,,
43,360378.4505,243,299.5566603,3361.295978,,,
44,326085.0142,248,549.186916,7111.598192,,,
45,37712.85334,250,248.6655007,9671.729851,,,
46,277585.5667,254,335.3283794,3810.764533,,,
47,124301.5139,255.5,350.0580718,10227.12697,,,
48,255795.3127,262.5,444.9713643,5210.320162,,,
49,242490.8277,265,356.0191025,3860.581431,,,
50,166942.2713,267.5,281.9145694,3211.487763,,,
51,119039.9922,278.5,439.7974253,5812.536751,,,
52,55043.41361,280,671.838134,6760.752558,,,
53,184416.7499,281.5,258.4296585,2910.89708,,,
54,401586.342,282,433.0170518,5311.011226,,,
55,317786.8956,285.5,270.3722019,2960.245384,,,
56,109574.3533,286.5,201.5900583,9861.652906,,,
57,349005.2647,291,348.4917961,3811.861756,,,
58,27290.4355,302.5,365.8262699,4511.639447,,,
59,277933.5123,304.5,674.7149282,8460.024507,,,
