TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,
,Parameter,,,Result,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5
4,0,0,11.4,179750.2575,186508,241998.4623,131217.688
5,1,10,11.4,139485.1881,159240,208662.5156,113444.7277
6,3,10,11.4,216082.8766,163272,210199.1096,116188.8899
7,0,0,25,153674.2998,224384,277830.0121,184778.892
8,1,10,22.7,73798.94615,83772,110258.611,57997.86854
9,2,10,22.7,78526.19439,81960,110373.4654,57937.97745
11,3,5,22.7,98567.84722,83748,111288.6955,60323.5225
12,3,10,22.7,125172.2766,85428,112986.9395,61059.64713
13,2,8,10,195644.4458,188328,246294.4419,136543.3094
14,1,8,10,84650.69089,184940,246897.8484,133324.8381
15,2,8,20,62858.43053,78300,103098.0635,52933.41518
16,1,8,20,67843.92734,107424,139858.9453,78556.1264
17,3,8,20,211819.0307,218976,269361.7061,180906.8642
18,2,6,20,64950.45807,81492,110385.4981,56623.47626
19,1,6,20,106161.476,109264,141839.9169,76218.2954
20,2,8,30,113657.6386,129280,161543.9141,105539.0057
21,2.5,10,30,173678.2894,128220,160555.7629,103953.0914
22,2.5,10,45,100494.4576,85092,106909.2654,68357.5731
23,0,0,30,81616.20709,135160,172923.6503,111860.5492
24,0,0,45,78209.39329,108992,135111.1869,89392.61183
25,0.5,10,20,203256.9824,236916,296452.615,195855.8118
26,0.5,10,30,143585.9312,164952,203008.0057,133964.2746
27,0.5,10,45,84665.36594,108992,133463.1414,92984.69149
28,1.5,8,30,145614.1559,165696,205690.4167,138524.4917
29,1.5,8,45,74506.74984,83604,107042.298,67952.12149
30,1,8,30,125412.1972,132080,167529.8745,107402.6037
31,1,8,45,58497.40279,81552,105946.5043,64642.36068
32,3,8,30,137357.1481,105104,134260.0156,83544.63941
33,3,8,45,65410.95881,54472,69667.90515,42799.8012
34,2,8,45,87506.73054,81552,103977.6433,66421.84368
35,2,6,45,94143.79917,108912,135339.0558,90426.95138
36,2,6,30,152667.4383,165024,207518.1295,139181.1679
37,3,6,45,83171.11022,79512,102051.56,64224.41065
38,3,6,30,141331.8411,133760,171528.221,110105.0005
39,2,4,45,108697.3309,110672,137777.2808,90224.77266
40,2,4,30,181184.6032,164280,209282.5339,134804.7558
41,3,4,45,115652.9533,110672,138052.2534,92578.00612
42,3,4,30,171591.1944,165240,212051.8553,135229.8906
43,1,4,45,105356.7813,110912,137101.2105,90907.95685
44,1,4,30,143751.8436,162960,202463.6311,131650.5604
45,1,2,45,105078.7717,113296,142182.5567,93060.74619
46,1,2,30,108346.5825,165048,205783.4895,137960.4351
47,2,2,45,75800.28676,107648,135876.9528,89731.61995
48,2,2,30,103313.7821,162744,204287.1398,134791.6616
49,1.5,8,25,173502.7486,189896,238971.6197,158913.4925
50,2.5,8,25,264946.3965,192528,238537.9691,155721.2344
51,1.5,10,25,148658.8797,160752,201737.7034,132972.6439
52,2.5,10,25,168316.423,165792,206619.4258,134924.1526
53,3,10,25,217006.8454,159384,201118.046,127512.1091
54,2.7,9,40,79457.09923,80064,100443.2541,65503.77243
55,2.2,8.5,40,88871.56994,81624,101084.0256,67652.26355
56,3,8,40,101917.7612,82332,102227.4248,68248.86745
57,2.5,7,40,85322.06708,80352,101218.9091,65246.28659
58,2.6,8.2,40,93927.70706,80772,104027.4296,64765.72437
59,2.4,9,40,77044.95529,82692,105921.4756,67792.3466
60,3,6,40,91850.43385,83208,104068.9391,65938.13863
61,2.5,8,35,76808.35654,80832,104248.7955,65319.99613
62,2.5,9,35,73342.28761,78324,97492.2341,61769.92016
63,3,9,35,80323.91086,79908,99530.23012,64888.8142
64,3,7,35,100728.7724,80400,103175.7802,63850.73354
65,3,10,35,97087.56974,82788,106964.5465,65759.8013
66,3,8,35,115975.7147,111648,140451.072,89661.38386
