TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,
,Parameter,,,Result,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5
4,0,0,11.4,59916.75251,93254,137938.612,59916.75251
5,1,10,11.4,63607.9097,79620,120231.9734,50325.56903
6,3,10,11.4,116188.8899,81636,121796.9696,52285.00047
7,0,0,25,68912.24208,112192,149133.2872,86135.89216
8,1,10,22.7,31160.97759,41886,61852.64218,27421.66028
9,2,10,22.7,46158.60922,40980,59916.97306,25894.06814
11,3,5,22.7,43871.65273,41874,61578.15587,26678.77111
12,3,10,22.7,61059.64713,42714,64134.0787,27476.84121
13,2,8,10,122427.8127,94164,137804.4748,57613.08832
14,1,8,10,35271.1212,92470,140575.3077,56433.79392
15,2,8,20,26466.70759,39150,56801.07125,23158.36914
16,1,8,20,21424.39811,53712,78843.87358,34113.47436
17,3,8,20,128480.3957,109488,147040.6419,83113.02011
18,2,6,20,30643.29304,40746,58344.84268,26313.2625
19,1,6,20,53163.57095,54632,80140.29926,34070.08184
20,2,8,30,53749.49184,64640,86786.68028,47297.11279
21,2.5,10,30,90055.40934,64110,84872.97428,47711.26543
22,2.5,10,45,47877.38113,42546,57696.36818,31971.16657
23,0,0,30,39571.49435,67580,91994.34322,48304.22078
24,0,0,45,37335.72834,54496,71293.36229,42022.1166
25,0.5,10,20,92838.35573,118458,156758.1577,89539.7379
26,0.5,10,30,75785.51035,82476,110906.9827,63324.0672
27,0.5,10,45,38182.41993,54496,72635.70784,42707.81347
28,1.5,8,30,74041.09623,82848,112331.9096,64143.72972
29,1.5,8,45,42830.03,41802,56623.84417,30023.03866
30,1,8,30,65028.54669,66040,89937.92558,49471.41452
31,1,8,45,32628.52827,40776,53877.61046,28350.84177
32,3,8,30,69537.6378,52552,71192.12071,37687.87482
33,3,8,45,25679.88072,27236,37329.55464,18912.33512
34,2,8,45,42970.78475,40776,54481.12583,29168.95245
35,2,6,45,54016.93395,54456,71874.15348,42390.54313
36,2,6,30,67740.32291,82512,109361.9348,63466.74402
37,3,6,45,39065.21844,39756,51613.26694,30199.31317
38,3,6,30,60570.78904,66880,89897.17685,50473.89794
39,2,4,45,51895.3484,55336,72291.22595,42764.30949
40,2,4,30,94315.2729,82140,106299.193,62775.80912
41,3,4,45,63627.30742,55336,74186.6059,43281.59632
42,3,4,30,88123.66977,82620,105884.3174,61510.41307
43,1,4,45,49106.71078,55456,74544.3634,41764.71102
44,1,4,30,78394.17084,81480,108032.3241,61682.2527
45,1,2,45,57148.1039,56648,75238.16809,43087.14701
46,1,2,30,60123.56895,82524,110004.5792,64616.52683
47,2,2,45,30756.15709,53824,70360.04879,41951.63607
48,2,2,30,68975.1773,81372,108879.9911,62244.17161
49,1.5,8,25,108030.3138,94948,127515.88,70333.74248
50,2.5,8,25,145380.957,96264,125584.9852,70321.1955
51,1.5,10,25,69918.45,80376,109437.5229,59567.35978
52,2.5,10,25,96272.45345,82896,111438.921,63094.0737
53,3,10,25,110717.7782,79692,104729.008,59807.95831
54,2.7,9,40,34293.62785,40032,53792.79249,29806.72631
55,2.2,8.5,40,43176.02316,40812,55382.18366,30105.82657
56,3,8,40,48622.17202,41166,55085.54738,30083.95085
57,2.5,7,40,45170.5061,40176,55779.73473,30002.87779
58,2.6,8.2,40,48606.04953,40386,54944.46988,30044.00545
59,2.4,9,40,39080.5263,41346,54948.24717,30984.39099
60,3,6,40,34979.3103,41604,57371.26015,30571.408
61,2.5,8,35,39297.29869,40416,53706.92268,27616.47041
62,2.5,9,35,31209.48409,39162,53887.85443,29646.55844
63,3,9,35,46383.01275,39954,54730.40859,29861.33892
64,3,7,35,52731.86725,40200,54794.49297,28584.02593
65,3,10,35,56208.59502,41394,57235.61558,30659.23104
66,3,8,35,53073.63216,55824,75795.61029,41759.76211
