TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,
,Parameter,,,Result,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5
4,0,0,11.4,287600.412,313488,412013.6384,239667.01
5,1,10,11.4,273846.6162,267648,339319.8606,202212.8336
6,3,10,11.4,339433.289,274416,354562.4904,211260.8679
7,0,0,25,306145.9909,377152,457436.4057,304168.3408
8,1,10,22.7,126047.7177,140796,188009.0091,109085.3344
9,2,10,22.7,143979.8996,137760,180124.1456,103132.1345
11,3,5,22.7,147232.3083,140748,183177.5096,108446.1364
12,3,10,22.7,174019.9943,143568,185218.8278,112545.4718
13,2,8,10,347006.7128,316512,409282.6854,237241.3734
14,1,8,10,205467.6495,310828,402197.3668,235864.6344
15,2,8,20,122408.5226,131592,174882.5422,102397.8759
16,1,8,20,146400.0537,180544,235221.7513,134217.8222
17,3,8,20,375612.4479,368064,447588.4275,302604.0461
18,2,6,20,138438.4072,136968,185242.1488,106526.639
19,1,6,20,171464.8686,183632,241806.4771,139554.7135
20,2,8,30,208555.0668,217280,270562.7026,183149.6627
21,2.5,10,30,273488.8873,215500,271150.9453,182558.9718
22,2.5,10,45,157563.1156,143016,177208.4432,121400.4979
23,0,0,30,173125.2878,227160,283077.526,187357.8156
24,0,0,45,154086.8392,183184,224126.9536,147907.8169
25,0.5,10,20,379987.4698,398196,491153.1335,329672.9951
26,0.5,10,30,240735.1789,277224,345692.798,231772.4966
27,0.5,10,45,159583.1614,183200,220852.241,153594.8431
28,1.5,8,30,260314.262,278496,338487.6138,235392.1962
29,1.5,8,45,131582.5592,140520,177751.6457,114382.0396
30,1,8,30,188612.1754,222000,271398.2935,184352.2352
31,1,8,45,131041.3837,137064,175215.4863,111552.3753
32,3,8,30,221907.9039,176640,223054.9942,142758.1974
33,3,8,45,122308.2833,91552,117544.0948,71344.83314
34,2,8,45,139275.6512,137064,169626.2387,115883.226
35,2,6,45,184641.5214,183056,221910.5638,156171.9503
36,2,6,30,286894.0648,277344,338435.2262,231428.8406
37,3,6,45,136765.6336,133632,162722.3588,110674.8365
38,3,6,30,249061.933,224800,274941.2755,189761.9908
39,2,4,45,171986.3059,186000,228413.8239,156547.0611
40,2,4,30,315553.2419,276096,342375.6953,233515.6061
41,3,4,45,188627.2342,186016,226706.699,156451.0499
42,3,4,30,298658.7485,277704,338750.2279,228534.8195
43,1,4,45,179102.3382,186416,226227.2917,152280.3858
44,1,4,30,275542.2998,273912,338335.5895,227493.7553
45,1,2,45,214368.024,190416,237475.9643,152670.8979
46,1,2,30,213337.1118,277392,340552.4168,231873.7668
47,2,2,45,143751.3224,180928,222834.8222,152203.7324
48,2,2,30,186243.9073,273528,335829.1507,230437.3831
49,1.5,8,25,331010.1814,319172,397467.8146,268464.3044
50,2.5,8,25,401065.6434,323596,408223.9926,276733.1808
51,1.5,10,25,295413.2015,270192,332112.0614,228350.853
52,2.5,10,25,300610.8621,278640,344015.6413,231931.3048
53,3,10,25,359749.3857,267888,327178.1101,225102.9586
54,2.7,9,40,134622.4895,134568,165940.1639,109347.2186
55,2.2,8.5,40,166672.203,137196,171070.4582,113754.0783
56,3,8,40,160185.5016,138384,171695.242,115849.9077
57,2.5,7,40,155888.6811,135036,168279.1985,110807.1291
58,2.6,8.2,40,158287.8647,135756,169927.7113,111872.4158
59,2.4,9,40,158556.7286,138984,172711.3319,117102.9767
60,3,6,40,139566.487,139836,174747.264,115004.322
61,2.5,8,35,139326.7863,135852,174923.0438,107101.7709
62,2.5,9,35,137989.4284,131652,163701.9117,107731.2213
63,3,9,35,127835.129,134316,166127.3469,109321.8374
64,3,7,35,167416.714,135120,173407.3787,107206.6738
65,3,10,35,180217.3109,139128,172742.1368,112830.1717
66,3,8,35,188964.2287,187648,232265.9777,159374.8728
