Cutoff,downstream_distance,time,radius,cutlen
0,110178.12779371325,4.2,303.23831110148905,3559.280114070505
1,177346.4421107498,5.2,405.1172783578752,4358.683479882641
2,96512.03262043468,9.8,622.3385618234668,7110.405485148073
3,98627.68210804995,10.2,395.8672833277379,4918.637460364716
4,24380.854028295624,12.8,284.084282480767,3108.437882899042
5,138972.06309918832,13.6,359.1655002878515,3659.3456254195603
6,39912.34372603864,14.0,281.2685107754666,3259.355796318109
7,36998.33357351953,31.0,264.56229099343926,2858.7822450996
8,145643.85708575897,32.4,292.6779204986772,3158.206366141533
9,111436.58165017038,35.6,236.1085418001087,2557.5848860245014
10,28537.87978326596,40.6,248.5153604704411,2557.074277131034
11,94075.44289324534,45.4,446.89205007369225,5209.759267049609
12,124229.19445651305,50.4,311.8899708695438,3709.429249841731
13,174356.26922590402,57.8,229.75276525520115,2507.168771187983
14,213835.43645903555,58.0,331.92782238483665,3809.2905645188243
15,51445.644583981084,70.6,351.5801100167361,4159.284608731493
16,165727.4184051187,71.6,474.324790734833,5759.393661050636
17,53655.53168344149,75.6,489.9591466161481,8660.886148769694
18,90967.03027542049,77.8,470.7034307191109,6010.11307813785
19,11156.584729185979,79.8,550.3583392915974,6207.958604029133
20,93395.09296455547,83.2,306.2218365076304,3212.3201869153613
21,123922.422731292,89.8,279.7041619896776,3110.0461840828743
22,16674.457543698078,91.8,789.6365459591938,10610.519937423946
23,94967.1322308911,92.6,570.9838123710261,6809.607311484248
24,140029.96998870114,95.0,369.6962234843469,3911.4326578865675
25,55796.49283063027,96.0,589.172794993538,7709.309669163227
26,67922.14131426936,101.6,508.69760247337666,9512.405642768303
27,65014.01152124474,104.6,196.94858665319362,12427.171586708748
28,85517.60804885848,104.8,531.2140280749016,6660.817244354552
29,112096.72908103575,116.0,411.3492987817374,4857.6122124355625
30,26290.05111079603,119.0,363.06688042292086,4309.467693336235
31,80844.54810786423,120.4,506.792869668308,5861.7603597374455
32,52743.78508160028,120.8,303.45723992119696,3461.133471569259
33,121264.01472434192,123.8,367.67335143819776,3959.6275907559943
34,109839.97584632451,132.8,335.0929044261899,4212.382719806466
35,159748.56202215631,134.2,686.460683953761,17665.17150865502
36,150144.48220724927,134.6,316.36648081364626,3819.654577699851
37,147614.3830704439,138.2,219.520556886244,9025.710116264005
38,21781.065281968153,139.0,403.7482203414432,4110.411777051979
39,40415.07735913688,140.6,404.56219112330473,5260.814279769553
40,86717.3929058512,141.8,410.7146405612866,4711.090904738656
41,101592.26813265194,142.8,246.44712703658197,11075.855844562971
42,122792.80373652738,147.6,240.93628599519133,2608.525149092447
43,32743.528208105377,150.6,261.0835502103331,13328.801453579177
44,45094.95189695093,151.6,226.89556721233149,2260.071428714631
45,102117.9663822038,169.0,369.25357537601576,6660.4854834728685
46,153747.66987246313,173.8,382.3795516372411,4008.931630380499
47,98696.62332186979,178.6,231.444218917327,2460.35789099432
48,87680.13894292063,180.2,537.6660033169994,6359.205626197723
49,83620.59114366041,187.2,452.2382011407868,5162.930404105629
50,159820.2955969533,194.2,506.5021797472255,5709.072646507062
51,76669.86816700884,194.6,535.3019125944259,6861.416404660525
52,90421.42606212561,197.2,440.667930718291,4910.078496746389
53,30338.417567845063,198.6,267.43665104105224,3058.8595782092298
54,116769.25126262617,201.2,335.66562875942896,12368.556102895609
55,46318.47767852455,212.4,324.57804519547125,3558.9906731504016
56,40508.045112537184,216.2,510.57944172132454,5861.5687448833305
57,165023.16192617052,221.8,270.9763225362154,2958.580925693104
58,64750.94385803251,224.6,346.63632027305334,3908.878452152516
59,115693.88128789548,226.6,440.6661997643268,6611.330789645858
60,150670.03847071904,238.0,432.5264802573724,6611.121565701334
61,107417.80515757963,238.6,293.90145581937185,3158.870029412278
62,108256.54349490759,240.8,192.72137268624704,3712.136680894689
63,96733.30874347693,242.6,437.22870937300047,4758.213398350734
64,101649.43400258859,246.0,240.73056811460717,8071.179380668355
65,19822.771639330378,252.8,706.8129421124029,9810.415995628307
66,140437.20450493836,255.8,263.6382312153437,8058.595078574409
67,44917.44823007749,259.0,253.27766109316056,2908.0766190027653
68,27540.468418984616,260.4,466.90300467269253,6260.004538623142
69,154259.4237807715,261.6,340.78795643509307,15368.091991856707
70,63245.46239495729,271.4,310.6383051824908,3359.581676943155
71,137375.5502320064,275.2,391.3848218032919,4762.97971129944
72,97173.97519156687,275.8,429.74951037174037,4008.74658416084
73,4202.813515009099,281.0,648.2712694176324,8210.607651250355
74,76383.31490264356,281.6,549.1041208805644,6459.573712731705
75,156432.6994281773,287.6,597.629220554227,6709.522469689588
76,116497.12791852004,293.0,383.0137798720698,4509.330063525739
77,68054.42258747044,293.6,309.27529559916957,11571.359533072882
78,51371.72440409541,309.8,516.9173284730317,9109.78633980625
79,64974.38947584432,310.2,230.24684706599513,6113.772611872072
80,132522.47267938068,321.6,524.9293990949809,6459.190444979946
81,128225.41376349043,334.6,355.2832397209311,3859.6507237216533
82,101966.2251156511,335.0,410.25428258298575,4508.775817993833
83,170204.89035830786,335.4,430.231228030573,5309.45143598742
84,46758.2598763499,342.6,595.2571520863679,7658.133441588985
85,159594.88944647042,347.8,498.5764343942655,6308.3967463088275
86,89834.30189585479,353.4,435.0941298932504,5208.403643656622
87,157989.28985581576,359.0,411.6609445410546,7665.554266318965
88,113741.67029518007,363.4,316.0266631156504,6760.863074715256
89,165191.4150800665,365.8,529.9872693738413,10262.937693524611
90,36188.69145703641,367.6,491.7365202604125,6108.926077122211
91,72261.46725513485,370.8,471.35231142072405,6610.904399802411
92,170814.50730897975,374.0,292.91453910321655,3562.9973568541673
93,26283.706245654226,375.8,558.5399491312002,7461.209605387903
94,5149.328372644487,378.2,382.5637638783875,4910.618182707658
95,106836.88435672793,381.0,338.9745400137489,14370.986309783953
96,161769.42257985682,384.8,255.07005657568786,5165.272583506556
97,92514.82838659541,390.6,367.9874086954581,3960.00459874264
98,83833.04062091764,395.8,415.21013738452035,5059.785054046822
99,42761.33229936675,402.4,534.5013164865522,7361.109274908211
100,123938.77750725574,408.6,442.80272482144983,5058.625120153966
101,164504.33151097465,410.2,350.24147474816215,3858.479766956906
102,64951.49967989713,410.6,370.6343970045424,14271.505855484354
103,47883.785657392866,411.0,429.8540384142701,10327.15726371675
104,36307.61016787283,416.6,390.26230870463775,4763.539407195894
105,111513.4306467082,418.8,646.7602104281189,9763.045903483462
106,12416.83272431522,419.6,554.689933699276,9162.652032106213
107,127436.27281662865,424.0,421.7449107302929,5111.114388340999
108,40218.42704979244,433.8,327.75614203813296,3659.8526671937693
109,60350.309627301365,434.2,337.7472591059405,4010.6107834602626
110,75322.56317999984,437.4,597.6059389789048,12363.79286775088
111,7106.640915570056,438.2,258.2078287597378,11124.282222446676
112,99881.39125817353,440.4,619.7974091174686,7911.177279464998
113,10721.524694714491,441.0,495.5406863808031,5616.062302232618
114,74087.85724120677,442.0,296.0064163692928,3369.19146331572
115,17765.919995985514,442.2,290.46545472507586,3162.751260288293
116,55660.22308096977,449.0,439.1202899650179,4761.1632335960185
117,117232.1704016994,456.8,278.80923069732046,3259.784551612975
118,86751.54476201584,458.4,348.89577940108995,4109.627774029298
119,33060.37294037562,459.4,339.7116242602017,3910.0438421414174
120,51098.131431316084,462.2,265.474759208502,2909.9451702544493
121,37968.58294464883,474.6,193.9714280456412,1854.4849011001556
122,99223.91621693553,478.8,312.3804555118071,3860.2531791972124
123,87785.47861988941,484.2,292.12171930623896,3158.4517542874146
124,19475.61506564197,484.6,413.7056364302295,4860.737219916298
125,22490.333807097904,488.0,334.4539860544448,3711.926735604982
126,139605.5864201193,490.2,330.8618621539303,4010.8790242255327
127,63944.445881033476,494.8,304.36430303184466,3458.869131933403
128,142566.90473878742,502.6,250.64926952617364,12713.899510175108
129,48573.852317889694,505.2,393.3677899331697,4609.988345032679
130,108059.45955788632,518.6,422.95891358656166,5308.8762981905
131,11559.64315752803,528.2,526.1664671722197,6359.725734100001
132,77274.94011263341,528.4,479.7438895256955,5661.879621106303
133,44785.31156541703,532.4,295.12010129454154,3258.71214207063
134,74270.4767289222,538.0,264.83745505638257,2962.240196767283
135,132920.7100916331,540.2,380.17453140449453,9112.419512965302
136,121543.22396359664,541.2,494.83708225222693,6211.845736282105
137,29597.95251624184,551.2,406.67602082743986,4358.816683644666
138,25485.873921345872,560.6,335.4276170204116,4162.791594669326
139,151190.9098574002,561.6,347.1924134404609,3859.028449549828
140,94001.23677750284,570.0,656.8950341410689,10711.526404574592
141,15516.52697796007,572.2,429.9665421207585,6312.333754616601
142,39885.83715055884,573.0,585.3387522710816,7110.72050211955
143,39487.17384924114,574.6,199.82943719386148,4917.2199596702985
144,90592.3418086115,575.4,462.3175074540191,5165.060077111263
145,150522.32033230297,577.4,424.8902432633926,5011.543484629567
146,108267.21325076457,581.4,446.5925219036937,5159.939324266128
147,98897.85034184197,581.8,523.6982648669699,7063.445402652979
148,17574.55074480783,585.8,211.19771023828054,9173.03543192518
149,21699.566161299823,587.4,283.1179655007683,3217.729260145764
150,109292.24663644309,587.6,423.40347061328265,4714.76617317888
151,95254.46091580167,590.2,213.06036616151562,2060.664636745491
152,102455.96579110475,591.8,276.4041318202695,3214.7461191902667
153,141475.00191548184,603.0,283.4785766213267,2908.5492807486885
154,45532.31300083344,604.0,508.3780783850954,7161.523095312904
155,53163.24647101685,610.2,425.28695597162294,16529.070367974677
156,64606.563147468594,612.0,317.2521497595669,3765.5731170930817
157,26388.704392071235,614.4,274.7692691128697,2857.7165780075425
158,150600.57539500066,622.6,394.20251004756125,4309.333299451053
159,77653.17067865952,627.6,464.9564946044591,5160.1776230125615
160,51133.29691225987,638.8,408.1182574027707,4759.678271167141
161,100234.97342197988,642.0,279.1622900639558,9916.7869058621
162,108969.83400976988,649.4,431.0728304770034,4911.094083451721
163,59846.45586169708,650.0,330.3485651814123,3458.1999704172713
164,133289.1832263017,660.6,502.0248702018836,5608.699285662654
165,100591.70419984306,661.8,503.54895387868567,6511.1577629032245
166,71573.37710572022,669.0,611.4095733497675,6110.1457252850605
167,166842.14618891748,674.4,371.13523048161795,4108.552391581537
168,117054.37711029826,685.6,299.20895281837244,3107.858092485774
169,137467.81021979952,687.6,335.866377948059,4058.943351617139
170,105315.22492687384,692.6,421.29883864331714,7510.014210501701
171,78061.66325054763,698.6,415.65896857123346,4808.700208688343
172,49320.8278455537,702.2,419.73242906645345,5510.486991559641
173,109878.3028209698,702.4,457.3214497411945,5210.578759336894
174,198019.0534414839,703.8,471.57779175823003,5359.1612542813555
175,44803.05683010794,711.0,517.7093063250097,5810.929453175306
176,85640.14117560576,713.8,255.5634816799337,2857.738969611586
177,189381.3675709938,715.0,274.5022389664281,8320.020582438938
178,183833.44934193703,716.6,195.4525848793978,9371.307223834498
179,63340.793865173095,718.8,644.109005399107,8708.794442646316
180,10060.099572101923,722.4,509.849184053149,6860.355979573929
181,20099.129129344237,722.6,566.2466466615463,7713.430238438474
182,103260.15269741279,723.4,349.13748495966104,3558.578994652692
183,141585.6737104747,725.0,441.86947168997773,4859.402168039887
184,39214.151806545095,733.6,265.1358323581728,2958.8520668923943
185,136891.46460735155,734.6,331.76117129211616,4062.578558198393
186,139871.77078122032,736.8,289.7283306956113,7015.873451112702
187,81621.52243976765,743.8,244.4483544079604,2506.617286269609
188,133435.5650633293,748.6,585.3967781425393,7361.1119749154595
189,73801.00398792198,756.6,412.8400802451619,5259.125607725761
190,185225.58355367839,771.4,675.1269755428294,10560.649051850813
191,125783.0446433544,774.0,471.07091328114024,5708.965120807429
192,135476.76366956093,774.2,307.4893708149521,3309.0188579186006
193,88324.73237147271,775.2,544.1543521739636,6508.301241928169
194,83758.71485036307,778.4,301.7234332325337,3163.4340441993295
195,161612.75827071216,779.2,380.0690470037779,6462.31892301033
196,146474.6201132053,781.2,340.0461401325772,7359.440445338852
197,190035.25892493606,782.8,489.697568877093,5709.684809285501
198,46012.234015537964,783.2,289.9783586772132,8262.110966248398
199,83665.92144125848,788.0,257.00421067272515,6064.872900274821
200,188115.31326152442,792.2,264.55759894268425,6916.682878302194
201,37591.31454369344,795.6,224.4282856368968,12760.629979389118
202,45061.66626019575,802.8,502.38085106685963,6713.292394704071
203,98138.67052492115,805.6,642.3030021920215,8508.309809908917
204,32690.648755950948,809.0,520.2424331597462,7612.707138230272
205,104384.43463983739,811.8,589.122271268747,6759.780847998961
206,111932.73347303642,816.6,266.6708145162022,3008.7135495718503
207,184317.79009159707,816.8,578.183861525525,10717.534533082957
208,16260.813978662645,818.8,581.0098339919925,11615.18898660735
209,95619.81548357381,824.2,457.7983185864449,5061.1302138201545
210,116943.95208764225,825.2,368.8111477043885,3958.2842226473194
211,45723.781482331,826.0,513.7703718295883,6660.376093273532
212,164216.14854682618,834.0,401.91962856739735,5161.264642666831
213,63044.60535614054,837.8,401.79545049562637,4759.575799633405
214,28730.19314513161,840.6,335.1075205863762,3758.9971426369584
215,17805.09050479081,845.4,286.9632520267929,3108.5590292442103
216,111058.04812536154,852.8,269.90239896400135,2857.5950852985816
217,73997.72227617122,858.6,509.51282371011655,13762.69550237459
218,188969.0824916549,865.0,400.4637021450035,4710.025634551293
219,163962.31804266202,868.2,459.56026007510104,16724.364522091124
220,41856.14546595309,872.8,561.727593616263,11265.596100230405
221,65372.29424964044,875.4,363.9947972101686,4912.271276845871
222,45545.64851017971,875.6,441.61748224934007,4865.984827195102
223,34344.098466471005,880.8,325.182239373967,3662.9393099612303
224,96898.16860078667,882.6,441.9193398328325,4859.624623798523
225,92369.48247647932,886.0,377.80938012724596,4213.687381209565
226,146499.5859977184,887.6,740.0161209600701,11515.430284923816
227,167106.73218388038,897.2,332.05864640329986,4260.406119050713
228,151222.3227579538,900.6,397.77779701997997,8064.770791487489
229,143185.92783031418,910.8,446.8849716209575,5161.038862796975
230,79671.12565707885,911.8,374.7676853032015,5312.037524472905
231,58641.42362859328,915.4,419.9260988040576,4008.431177717347
232,149128.55177378887,915.6,345.21671082039626,4366.06589204888
233,54390.03622089058,917.8,363.470666765335,3914.306060955313
234,168440.99180862267,921.8,429.2511038022123,4359.370307143285
235,96212.94693266459,922.6,623.5589353286013,7760.2194111316985
236,177987.2903098301,924.0,324.4824340126204,3809.6456023740125
237,184991.3263975731,926.0,505.70810716266516,5109.568087374873
238,117363.44303516098,928.2,266.64855454472786,3210.1347064309157
239,83777.19222911319,929.6,288.3796023908071,4864.566780577718
240,44248.5607830745,930.6,366.2892204907727,3909.4808932442365
241,142851.30708014176,931.0,255.77248278896693,8165.06867179708
242,117283.73963873173,942.4,388.6075613663032,4111.743166445537
243,110855.50125965838,944.4,423.4060901934747,4610.228478152397
244,125243.72206449423,952.0,381.04979119887,4359.062586424082
245,172201.1568617343,956.0,418.64349320080754,4860.091446323981
246,5501.218749012372,957.2,784.2426340898484,12114.943409936319
247,58266.25039448289,959.6,320.88089470112754,3258.8747566092643
248,171111.46799576888,963.6,286.0315270338254,3265.2118583475954
249,44070.53004099068,972.0,277.0570878709687,3209.179193992097
250,119075.04400506061,972.8,249.1786281186559,7612.582818760592
251,15269.482813642455,976.0,437.1770952533145,6011.094226055616
252,172122.18898492982,985.2,474.42716554870464,5809.643063823131
253,158291.46515321205,985.8,461.0928070652478,5559.057341330501
254,7858.180953678612,988.8,290.84409837867565,11873.491951302058
255,83934.68625705062,989.4,279.21047212531016,3209.1803832784044
256,128803.43591229731,994.4,625.2739294736637,9261.03855782831
257,122554.6462880672,995.2,338.3916790615371,4018.344283578531
258,162812.02048792294,995.4,259.5888219053747,2659.3084479826434
259,166025.83190415194,996.6,389.4416217202642,5162.421644590454
260,188664.58027364375,1000.2,409.02188204393764,4559.456101733785
261,59643.88298084539,1002.6,236.95157802968131,2607.552643808262
262,167776.2972052551,1003.2,372.9221934938702,4063.8989422293357
263,37156.188542888645,1004.4,420.1715183830218,7412.1318851475
264,122419.37183919476,1005.0,227.71112567681104,2312.745641182144
265,127128.95434511763,1007.6,278.82575440652363,3010.9882782394534
266,16324.443491863663,1010.8,436.0140913715288,7963.485276084029
267,98276.21513594149,1011.4,486.43345057501995,6160.532638098177
268,39876.60414112808,1012.2,503.5473384595488,5961.109952800466
269,149592.00306117907,1012.8,242.16919429713948,6407.62312487669
270,61266.9624664047,1020.0,722.02582628943,10361.884558619915
271,19334.46369799385,1023.2,321.20829035434,9414.230192721307
272,154162.34477562466,1036.4,473.2010341373882,5358.614984622274
273,118961.20670992856,1036.8,300.14637283700773,3058.59406068067
274,11863.96989251038,1038.6,352.9641760986462,3860.78674440867
275,106724.00849510665,1038.8,427.1613903912767,4860.833379153407
276,140103.03556704608,1048.6,446.79650875808676,4909.5779516845305
277,188817.2891177608,1053.8,322.5428473501695,3509.1966073435865
278,33593.532180987844,1055.8,312.4451498195549,3509.2731198525053
279,123794.23716127407,1056.2,305.2432501745663,3258.3097489243773
280,105471.54941041769,1061.2,422.00836281123946,4760.110780547588
281,112296.80737406842,1064.0,615.3574175519954,8061.585568565197
282,46655.92206589296,1068.2,373.43885752266146,4459.570827816367
283,51975.06772112936,1075.0,348.76041857297787,4216.082172474437
284,16604.77999613894,1075.6,275.96387626833985,3209.538582772196
285,37092.33654022472,1077.6,234.9032443833173,2356.7269554064815
286,78438.80918124365,1081.8,427.6314666249956,8062.8848536277865
287,110074.00722837694,1082.6,339.03867781563486,4011.659903911008
288,170866.5858225641,1089.0,305.2383767350936,3410.147649205799
289,153273.37033618407,1090.4,634.603661497124,7910.900188692899
290,60377.78271040717,1098.6,305.59334778521,3058.654394217441
291,130395.61276938832,1102.8,252.37238543633325,6363.05076945
292,54559.156760301354,1103.4,359.33755697788143,4009.5031284892343
293,154357.00270946336,1104.0,454.36264673388064,5262.284027302541
294,20353.083875655782,1108.2,263.0588633306189,2757.795186224304
295,187554.43365862372,1111.4,576.4299431873881,7511.535127043927
296,5233.268008909677,1123.8,705.7414702519799,7610.693075676607
297,128148.28991319182,1127.8,602.7426545354687,5460.16101409028
298,45511.64374281661,1131.4,200.0862879487941,19632.166261444643
299,86375.37304956633,1137.6,503.7443695768223,6911.098276785813
300,67000.46470910299,1139.8,554.8871732638559,7310.53781403391
301,98320.11443619254,1142.0,502.1306332831228,5909.8190433684185
302,154586.09872803066,1147.4,328.5371476255715,3710.0250439407296
303,116622.87636496342,1151.6,432.99792608591036,4908.960947403016
304,158977.85046408186,1154.6,342.6146693158072,7209.997829446687
305,195130.66957026554,1155.0,395.3625816078338,4610.3250615284105
306,169824.20382206095,1156.2,379.7885489635934,11621.01278905738
307,132154.40639601622,1161.0,791.266891039809,13964.086336043081
308,85466.56486689266,1161.4,560.7859095760247,6509.37540271907
309,129942.31196604061,1162.4,594.3699010129503,7318.142176029337
310,23176.72182335146,1165.8,338.4390182554925,3809.5107465163755
311,59130.7403325623,1175.2,279.5200272499366,11717.832668759082
312,34453.73919002929,1177.2,459.66123901786654,6112.5627411561245
313,159914.58070622728,1180.0,457.1464357474236,5260.4386122832
314,108487.10255816072,1180.2,322.5222556904405,3711.3773504956157
315,7802.795935726828,1182.4,383.6845291714516,4209.248698443529
316,75669.8996111389,1189.2,286.86747451391676,9415.335857158816
317,120274.23627750904,1190.6,390.38996151088975,3959.299060912042
318,24429.495921074376,1194.6,278.15558969213777,2907.6624104376174
319,154272.77157246644,1196.6,408.724659599471,4261.00792349924
320,67905.12088078875,1197.4,502.20210598553837,5712.255593312703
321,169653.08778907385,1199.4,305.49496216471357,3659.9813711463107
322,33784.463205511325,1207.0,439.0356851976546,6310.92594573997
323,128459.2399529159,1211.6,257.5558562828926,3861.225816143895
324,78073.70361194664,1212.8,373.39597235160437,7312.740786184904
325,100004.08632870771,1222.0,445.5860525888404,5360.100173814891
326,11694.906134201652,1223.0,290.66141311612444,3309.0718106702448
327,164825.20016296036,1225.4,342.8757405042017,4009.725066078545
328,123631.56887573369,1233.2,289.6169844712609,3510.012496935058
329,54719.38737452531,1234.8,360.9615497447972,11417.591937232984
330,106234.81425242739,1235.2,527.3126181145091,6010.338997147919
331,78210.84158028699,1243.4,267.5864569104093,7810.788931355321
332,164008.6559064148,1249.2,296.6729032025014,3159.4810457893273
