Cutoff,downstream_distance,time
0,0.5302231619641239,0.5
1,0.03052386790509034,16.5
2,0.2674668360805104,68.0
3,0.8935127916768603,72.5
4,0.3112638091839148,95.0
5,0.6115123321220557,103.0
6,0.7416886129820085,122.5
7,0.7335515321702524,174.0
8,0.916065042907802,234.5
9,0.03915102848021522,238.0
10,0.591298888656974,245.0
11,0.3869945228958104,258.0
12,0.11368350135663913,259.5
13,0.838802196441154,263.5
14,0.47361072603475796,274.5
15,0.2179299866202039,283.5
16,0.5896987755665336,299.0
17,0.3069732484962654,322.0
18,0.7174084758497412,339.0
19,0.8281758887850125,352.5
20,0.5266357145826066,353.5
21,0.42376278687164853,438.0
22,0.48585618400305514,442.0
23,0.9299542341282221,477.0
24,0.14680888686757967,489.5
25,0.22255828303215244,495.5
26,0.623082194764247,513.0
27,0.8931997975262987,535.0
28,0.28454789766823946,552.0
29,0.08624651409083808,554.5
30,0.6232837072758012,564.0
31,0.3539617559448361,584.5
32,0.7728356800112611,607.0
33,0.3881774099623901,615.5
34,0.41250976449660715,618.5
35,0.5286273277932884,631.0
36,0.4537895789019873,637.5
37,0.1656336221008088,646.0
38,0.637889710452507,685.0
39,0.8761488087698786,688.5
40,0.8385468142137621,691.0
41,0.0671472122269603,703.5
42,0.18526547666684742,721.5
43,0.9520534703670087,725.5
44,0.9192561832593753,744.0
45,0.5009944338824193,756.5
46,0.8416816579719422,809.5
47,0.5942342019518736,812.0
48,0.10031172372907993,814.5
49,0.8139388398381455,815.0
50,0.36451730794504617,821.5
51,0.6526547094215335,826.0
52,0.7285124874965951,840.5
53,0.14270341346513568,855.5
54,0.5697130515689514,865.0
55,0.5382903396065709,873.0
56,0.16575436016163272,895.5
57,0.20642977979466995,899.0
58,0.37483050975828425,902.0
59,0.6936417469840236,907.0
60,0.11704803498673125,916.5
61,0.4538862509979442,933.0
62,0.8487225508821916,943.5
63,0.04090964846665868,945.5
64,0.7752888437277033,968.5
65,0.6669310982699327,971.5
66,0.37636340637974763,974.0
67,0.51944678869068,987.0
68,0.9130446402082356,988.0
69,0.03846477828095208,1000.5
70,0.9468399862027324,1010.5
71,0.9296922126279131,1011.0
72,0.337202539707537,1013.0
73,0.5498653152119288,1015.0
74,0.3048354352817166,1018.0
75,0.23159548383067663,1026.0
76,0.7057467125133314,1036.0
77,0.5059870563613882,1041.0
78,0.1594948319963572,1061.0
79,0.5588458907544014,1064.5
80,0.3083778264500456,1067.0
81,0.19885652744133234,1073.5
82,0.7042320888437497,1082.5
83,0.3283767117539821,1087.0
84,0.13330171449226455,1088.0
85,0.6125276023259212,1095.5
86,0.3885104162534716,1115.0
87,0.8347332296132006,1121.5
88,0.7697971483751765,1133.5
89,0.7198384844461292,1157.0
90,0.19577884446882898,1167.5
91,0.3586335971811466,1191.0
92,0.2453279474263261,1210.5
93,0.6894637533874284,1212.0
94,0.7592754726272984,1213.0
95,0.10159167769015665,1223.5
96,0.9437011620019752,1227.0
97,0.11127181351916567,1237.5
98,0.45469561451652024,1240.5
99,0.9208020103234352,1256.0
100,0.06521024779690938,1270.0
101,0.658359122933952,1278.0
102,0.5029510616442999,1281.5
103,0.5922700869165862,1288.5
104,0.33066071040341305,1291.0
105,0.8735657095881325,1304.0
106,0.6518237327730789,1311.5
107,0.7544036494721009,1313.5
108,0.5969943490314062,1317.5
109,0.19374326760049596,1331.5
110,0.4057408259990151,1335.5
111,0.23385180060520458,1358.5
112,0.6098456785465923,1363.5
113,0.8304334055531735,1379.0
