Cutoff,downstream_distance,time,radius,cutlen
0,[72815.89679589204],0.5,399.42369949878247,[5161.663942970111]
1,[51717.91705714192],11.0,449.25865286937204,[5660.559176393946]
2,[168610.60674112613],11.5,502.77606936209537,[7961.306779085219]
3,[204199.11712613463],15.0,506.50063360229046,[5959.856216147409]
4,[249958.95013903597],21.0,269.2608711738272,[8515.18551014407]
5,[11005.336754092867],22.5,601.7666610294518,[8410.303980092245]
6,[258434.17046671122],31.0,522.4155823099547,[6660.603857817583]
7,[51367.450283082224],32.0,366.83245352182064,[4669.566994978358]
8,[350159.7030216258],37.5,553.2768241145959,[7760.380819770429]
9,[259512.4241908623],42.0,186.5755509294116,[9939.955330085848]
10,[74803.82030891751],45.5,490.8674558053072,[12464.859348178965]
11,[327631.177658723],53.5,361.0547254673509,[4212.345401435364]
12,[147502.24639565015],54.5,478.81254635428996,[13671.022724964323]
13,[382965.0412961414],61.0,516.387813592838,[9512.048355436917]
14,[82116.99330750537],63.5,417.0966868426287,[12672.352834486333]
15,[48828.722648546376],65.5,229.96201113074173,[18197.798335206244]
16,[384835.6453639624],76.5,425.50898925206786,[5421.413944346286]
17,[210387.6179033404],83.5,460.47481507838654,[5860.471055840952]
18,[138978.42077331123],91.0,562.2962763077076,[7011.52553373808]
19,[438790.26577034337],102.0,403.10365339951255,[5561.443457372343]
20,[286819.81954900676],104.5,409.3429596940764,[5160.66391579536]
21,[134199.29624855643],107.5,349.03793600292926,[4419.951279559374]
22,[260020.1127256399],112.0,487.4040264795802,[9662.640985495991]
23,[370662.9605852912],116.5,834.0043215728906,[13560.799126887996]
24,[382451.9018494883],134.5,456.8300053738264,[5962.667609847254]
25,[30241.498819226334],139.0,464.3735319084761,[6110.3933224835]
26,[112674.93056342231],144.0,525.7242445573942,[7209.281580392725]
27,[241946.34465719888],145.0,410.3599567334899,[5260.576711315524]
28,[167767.66306015986],154.5,370.409325536389,[4761.164644290427]
29,[157514.34874347263],155.5,429.8983540268461,[5610.602185648223]
30,[436737.67973620305],159.0,306.6558785641497,[9821.19891595976]
31,[368794.5173930672],176.5,571.6951684534707,[7709.281539489085]
32,[209565.86809697704],185.5,488.8987156661536,[6409.649149576113]
33,[451778.69122712885],189.0,591.6895107048846,[8410.78884781162]
34,[223785.95839412016],196.0,400.59441464026526,[4960.134093846639]
35,[266466.2094769894],199.5,307.0645586209325,[5162.71805690401]
36,[100303.09954310453],201.5,469.3069592660804,[13015.109246837954]
37,[9154.181737766077],202.5,278.8687586131359,[29950.9843336769]
38,[153908.5700323261],209.0,498.96225164637536,[10963.934636303457]
39,[249155.1492289616],215.0,390.10328559765435,[11115.856506447903]
40,[396533.47125238075],217.5,360.0228692035948,[4510.665462211972]
41,[265001.9391312897],220.0,464.5610708570064,[5917.0422931413805]
42,[404339.407728946],220.5,554.7645142596901,[6359.855539152529]
43,[191469.05887204787],222.0,440.337994351581,[5462.077882545123]
44,[296352.35353418277],225.5,627.4011310109228,[8660.233171870412]
45,[128004.32541667385],226.5,303.6197521735466,[3861.437347805089]
46,[103374.8447182703],227.0,336.7805104784064,[12068.375579643342]
47,[297148.1433242671],227.5,448.68254180981285,[8033.665211401683]
48,[122847.0664336732],230.5,494.5535469037615,[6119.671989451856]
49,[195345.30715650396],232.5,392.4156268389574,[4863.9875831897125]
