Cutoff,downstream_distance,time,radius,cutlen,,,
0,268792.8997,9,391.4984119,4305.667542,,388.0816213,5717.157468
1,162295.6468,22.5,441.6966221,5356.237546,,,
2,351271.7263,23.5,357.2857764,10913.68401,,,
3,329131.9034,42,463.4731385,5806.482557,,,
4,181022.1269,42.5,413.5729759,4706.234307,,,
5,390295.8236,51.5,317.8200904,3655.672868,,,
6,154589.5709,58.5,396.6354979,4807.173106,,,
7,193214.5886,74.5,270.8961842,8409.468107,,,
8,20704.36491,77.5,246.1345492,18415.9491,,,
9,75132.40203,78,261.3688231,9558.225784,,,
10,184332.4898,81.5,304.3061571,7360.812573,,,
11,69081.61712,89,313.7472784,3459.970943,,,
12,282762.4088,99.5,264.0769639,2804.245304,,,
13,351468.4131,106.5,786.0903881,12259.197,,,
14,244155.316,121,460.5177588,5906.84928,,,
15,98835.46437,130,459.3406698,5756.575983,,,
16,230621.4366,146.5,403.2760001,6756.917185,,,
17,152533.2591,148,366.8682555,4405.920337,,,
18,236902.7616,151.5,400.5340633,4508.626107,,,
19,163044.6791,156,314.2730996,3605.802502,,,
20,57298.37041,174.5,325.1250271,3605.668101,,,
21,277941.8344,207.5,309.2386325,3605.243468,,,
22,212227.4338,211,265.6274916,2854.114266,,,
23,41829.53056,212.5,430.9735387,4655.617323,,,
24,253882.0177,215,260.7930452,2654.032456,,,
25,296967.3125,229,437.8981964,5656.800254,,,
26,238323.2491,245.5,389.9685051,4355.786415,,,
27,414868.435,251,294.9599732,3405.135632,,,
28,361784.9379,259.5,442.1065532,5356.302345,,,
29,118954.8943,279.5,366.4856901,4005.177714,,,
30,201579.2629,292.5,408.3994768,4405.257985,,,
31,187154.9641,301.5,451.6733923,5054.994381,,,
32,311929.0833,307.5,283.3791409,12209.2489,,,
33,318997.944,311,319.2849437,3411.317057,,,
34,351777.131,312.5,418.6682431,5105.801642,,,
35,95777.72087,316,363.3681755,4355.656099,,,
36,73957.89344,343,403.4194563,15614.44577,,,
37,254821.8829,351,275.995973,7056.499496,,,
38,5195.954622,352.5,560.5305695,7107.44377,,,
39,296411.2111,356,307.3177151,3354.834091,,,
40,82190.1652,361.5,223.7894392,2204.423661,,,
41,19665.98764,362.5,369.1303007,8908.373647,,,
42,58659.47563,369.5,304.2751329,3305.218323,,,
43,40842.0473,371,340.4360081,3956.277328,,,
44,78509.04323,387,419.8083068,4906.232538,,,
45,354121.7159,398.5,550.0077729,6556.475969,,,
46,374605.9896,403,446.7181725,4955.521853,,,
47,148264.2118,404.5,305.8511385,9959.603302,,,
48,23363.68321,413,407.4178097,10258.07058,,,
49,195896.1124,418,531.9527006,6155.863542,,,
50,345229.3071,419.5,342.9480968,3855.136314,,,
51,161979.3643,447,434.3038691,4705.061037,,,
52,252231.8318,450,512.1137859,6005.619137,,,
53,191975.2931,456.5,497.1205046,5456.26948,,,
54,22213.58479,461.5,306.1529484,5054.368785,,,
55,344108.077,467,355.9515885,3704.749637,,,
56,310973.4228,473,264.0251532,2954.402189,,,
57,426608.2292,475,281.149335,3254.919601,,,
58,5597.225466,485,306.4956118,3304.693799,,,
59,185960.2471,487.5,315.9111817,3605.339754,,,
60,370538.5822,489,435.0567647,5506.927703,,,
61,311945.3803,491,329.9299,11060.35731,,,
62,366803.1196,494.5,443.8913841,5815.204855,,,
63,51782.25181,495.5,280.6778418,2854.40958,,,
64,172444.6771,520.5,355.2030353,3755.766889,,,
65,174646.1202,521.5,443.1631509,6059.872998,,,
66,98468.35027,528.5,404.5749525,4655.526025,,,
67,251306.0771,547,275.8441708,3004.372632,,,
68,362878.4483,567.5,521.4400157,5255.873491,,,
69,398287.2599,573.5,574.1425634,8307.167364,,,
70,37218.68939,576,333.4660709,3955.728361,,,
71,388137.9556,583.5,231.5281275,11823.05117,,,
72,148716.5504,594,704.6550875,9908.530542,,,
73,229345.9424,599,381.8077021,4505.537363,,,
74,72293.74152,604.5,350.9357679,3804.901191,,,
75,195801.0874,631,293.5946523,3104.298408,,,
76,32168.87689,653,559.6787783,6805.857025,,,
77,35187.74019,654.5,220.9893592,2262.086912,,,
78,202985.828,657.5,330.402845,3805.563896,,,
79,326485.1797,660.5,404.6872283,4505.248749,,,
80,157833.266,670,327.9818927,10460.15215,,,
81,427499.1471,692.5,586.6047944,8006.309624,,,
82,247679.8186,694,770.0733225,13610.32224,,,
83,187509.3456,706,269.6397042,2804.171932,,,
84,40079.59879,714,289.1434647,11508.82893,,,
85,86515.16272,717,354.0077487,20667.92559,,,
86,90640.52044,720.5,797.5031621,11714.72635,,,
87,78449.80795,722.5,492.8831715,5717.171247,,,
88,396642.377,724,756.8391431,11608.44222,,,
89,104365.2599,725.5,558.6173089,7409.578286,,,
90,164846.8029,735.5,231.4258929,2353.375143,,,
91,265090.4729,742.5,374.6346149,4556.625936,,,
92,225426.4956,744.5,296.8088447,3255.075922,,,
93,254043.0339,745,171.7734055,16527.9962,,,
94,338121.9722,747.5,240.8377284,2704.206908,,,
95,361909.2328,752.5,353.6706388,3855.87255,,,
96,200954.7233,757.5,558.6502932,7207.666134,,,
97,204501.622,758.5,313.2587606,3816.13688,,,
98,75270.94938,764.5,293.6472206,3355.487236,,,
99,9557.751966,797,414.8841055,9008.128698,,,
100,23617.77787,808.5,385.9149722,4305.558047,,,
101,92138.88041,815,701.54097,10507.91358,,,
102,41389.59597,818.5,432.4320726,5106.137742,,,
103,229076.6456,819.5,563.6597642,6706.582576,,,
104,173971.2686,820.5,536.6531382,6306.469357,,,
105,184775.4226,830,579.376603,8509.14539,,,
106,46741.63843,838.5,238.1426637,2653.959476,,,
107,223094.5914,840.5,248.4943936,4905.182361,,,
108,204558.8317,864.5,238.7169392,2503.642873,,,
109,342063.3929,871,525.6417167,6156.584078,,,
110,147466.9345,871.5,374.1903002,4206.174111,,,
111,173831.5714,888.5,360.0697601,4055.67997,,,
112,162721.2947,906.5,357.6151587,3806.051876,,,
113,112819.3388,907.5,374.9502903,4155.477416,,,
114,77077.533,912,268.4240591,2904.34695,,,
115,232396.8477,916.5,270.8321946,2904.583403,,,
116,282914.9887,922,438.2278694,4755.272091,,,
117,10960.54774,926.5,262.0937063,2804.262137,,,
118,66817.51321,943,650.0736196,8408.011568,,,
119,206622.1948,946,394.4751629,4105.968698,,,
120,83490.96559,955,384.0889328,4555.807299,,,
121,408055.703,960,509.0972194,5605.756908,,,
122,127780.356,967,530.6946556,5505.48276,,,
123,184595.9393,975.5,325.1682403,3605.308094,,,
124,104357.5131,983,340.017521,3554.900309,,,
125,303495.7776,986.5,498.6568387,6757.891976,,,
126,94443.85385,997,423.4329741,4805.776545,,,
127,317980.627,998,348.5994134,10962.32491,,,
128,36537.36522,1002,576.5214632,6256.466998,,,
129,92210.24169,1004,577.5248256,5812.116625,,,
130,307990.1667,1018,306.2406309,7959.767183,,,
131,354352.494,1019,305.9385036,3605.198959,,,
132,30127.17987,1029.5,386.7305164,4155.591155,,,
133,58165.71647,1032.5,335.2289539,4056.28585,,,
134,52354.70731,1038,375.4976317,4358.243162,,,
135,128789.1078,1039,573.0442432,8058.317432,,,
136,383365.6784,1050.5,262.2395467,3004.891974,,,
137,215670.1928,1052,532.5252323,6206.198923,,,
138,168178.9025,1054.5,331.4876389,3455.110433,,,
139,206909.8198,1072.5,347.0314786,3905.955313,,,
140,149548.6634,1075.5,306.7208633,3355.178779,,,
141,156359.0287,1077.5,250.2960605,2854.625989,,,
142,161202.2117,1089.5,410.1770374,10558.65966,,,
143,193592.9655,1101.5,422.2881532,5156.09975,,,
144,93537.8196,1106.5,359.8433702,3905.113719,,,
145,315315.5097,1117.5,292.8027751,10761.67565,,,
146,375982.9292,1118.5,453.8287558,5957.083693,,,
147,107210.5459,1125.5,260.0753756,2754.506398,,,
148,358630.0116,1136,421.6331799,5155.955745,,,
149,244580.1481,1141,284.9736642,3104.775644,,,
150,309790.9155,1149,358.1371051,4256.348218,,,
