Cutoff,downstream_distance,time,radius,cutlen,cllen
0,76378.1354278532,2.5,487.63455875168466,5561.0060130567645,145066.64012572024
1,176053.02066451,37.25,531.8846294292055,6209.757149451183,177463.5135206409
2,103127.6913066137,38.75,329.8920100779984,3460.8877618766664,176280.92842190503
3,78381.15779128594,42.5,424.6006053107572,4961.2597151490545,176173.61990628045
4,144634.8808669704,45.75,316.7126823496475,3610.8344543934554,176804.23720179126
5,155523.73150054223,46.25,413.2501065717422,4611.280080685774,173219.82535026353
6,58901.96228529268,46.75,266.62822017958575,2960.9015593829226,171272.30375753672
7,64150.994564709436,55.25,397.1506800246648,5513.833328307801,175306.4077573228
8,119390.30884094471,56.5,427.7671096164116,4710.2487243701025,172391.7583106239
9,16671.69329978606,60.5,336.6350919137685,4262.483519195257,172798.4708759063
10,23786.170990329585,67.5,646.6769059695375,7960.615319602875,172704.55409163542
11,10513.005215272748,68.5,236.60432431217157,9221.23899415161,165046.0690639003
12,87401.61484034764,79.25,414.99392635142215,4861.421803152183,172576.47106214703
13,38764.28740605842,86.0,559.5374775528237,7663.15638643565,173085.23952770777
14,91417.61909502007,90.5,264.0940190381044,3011.1300448437396,175938.5994635452
15,27995.459940020344,91.25,572.701099259051,7911.176276257579,169355.8914497114
16,129628.84972859752,92.5,316.6062015623495,3510.4640629268565,167865.23658002273
17,148095.91851268866,97.25,313.51120489595974,3661.1965574564583,170295.44173251063
18,121930.72544372178,100.75,681.7203211829005,9162.07706638491,165677.72871296553
19,121285.41966858417,114.75,351.53551401343583,4161.874239703166,179206.76472611312
20,49341.30575620982,124.0,347.6491078156948,7320.58128541453,184353.35913092818
21,165453.78874594654,132.25,273.5286394282807,2910.2050784228054,192464.73218676052
22,166126.6479079265,139.5,202.1396829984644,22632.929307597253,179508.96767118943
23,36864.450511715826,141.0,437.7103814386684,4610.707635619438,177379.0240283674
24,41518.744982073054,146.25,394.5103514131414,4361.533955114481,180137.91193785323
25,98504.00449911016,148.5,438.9205924128251,4860.08707837328,178420.23354331826
26,22937.13715660018,149.5,496.7389337338447,5511.705565780095,174524.53319179663
27,64745.24862428118,150.5,349.4858689500376,12426.536019592313,163681.91558901235
28,119597.3148429148,159.0,325.412055465632,3560.910967023823,169658.95812324568
29,102920.90259896424,159.25,619.0945262621142,11117.933540966651,159249.74012559422
30,139674.98638464016,170.75,404.36918021230656,4460.762827909067,167288.62272679718
31,16174.795297103372,175.25,611.9308774695033,7009.874700908223,165432.97906538204
32,172790.76225578377,188.5,669.0938309282517,7259.512549835518,173363.9760651384
33,43659.68204356195,197.25,278.3043788163838,3211.968063516399,181019.22851544066
34,38603.05019986534,207.0,379.9923402235503,4312.279895075104,188741.3510405087
35,102384.9707944766,212.25,359.3226584359997,4211.169226147426,191264.38872091757
36,7293.991861263684,215.25,587.8547876156813,7461.39485983317,187864.0410897912
37,144077.33706909843,216.75,523.0021340555389,6810.549474855933,183362.89675012216
38,76850.73143117157,224.25,428.1109234772434,12016.144136455625,181152.79260900174
39,98191.19741865399,232.5,766.2507541867692,7110.474026057172,184718.6259368295
40,173585.96710002722,239.25,514.9345430674379,6160.256575171793,187569.91129883696
41,164531.7924922615,241.75,202.08875050171437,21689.90512690966,169495.83194354054
42,166895.6883504792,249.25,469.5862306438621,5262.377709252294,173718.41128747197
43,110020.94065358504,258.25,350.6344190018212,3860.793515019347,180917.1048382538
44,17270.373389738146,260.5,544.89289570259,5660.9444627521125,178324.91574056493
45,142535.8036823065,267.25,449.38342751869664,5461.93336638048,181219.52725854906
46,122153.75366150057,270.0,432.5437016903758,15428.867855812812,169454.2921633771
47,9102.202663668086,270.25,402.93573563304636,4461.401746926543,165748.29267109235
48,146700.45314750163,272.5,452.61368133041424,5060.7627833467695,163742.31957771187
49,142264.6073099628,286.25,481.9824238667559,5962.278252168906,173942.8317669802
50,184185.29283193802,300.5,261.56851455388545,3011.198219209056,189502.08533741825
51,132774.81914502097,300.75,283.88004468695897,3564.612482389676,186716.10863021805
52,22194.164937478425,303.75,418.872127472751,9614.874026142135,181403.51256907306
